ABP_code,CBS_code,Naam_gemeente,ozb_waarde_woningen_eigenaren,ozb_waarde_niet_woningen_gebruikers,ozb_waarde_niet_woningen_eigenaren,belastingcapaciteit_niet_woningen_eigenaren_in_mln,bijstandsontvangers,ABW_schaalnadeel,ABW_schaalvoordeel,eenouderhuishoudens,inwoners,inwoners_kl_20_jaar,inwoners_gr_64_jaar,inwoners_75___85_jaar,Inwoners_waddengemeenten_7501,Inwoners_waddengemeenten_2501,Inwoners_waddengemeenten_1,krimp,lage_inkomens,lage_inkomens_drempel,minderheden,uitkeringsontvangers,extra_groei_jongeren,extra_groei_leerlingen_VO,klantenpotentieel_lokaal,klantenpotentieel_regionaal,leerlingen_VO,leerlingen_VSO,bedrijfsvestigingen,bewoond_oord_historische_kern,bewoonde_oorden_1930,hist_kern_I_kl_41_ha,hist_kern_I_gr_40_ha,hist_kern_I__gr_64_ha,hist_kern_II_kl_41_ha,hist_kern_II_gr_64_ha,hist_kern_III_kl_41_ha,hist_kern_IV_kl_41_ha,hist_kern_V_kl_41_ha,Historische_waterweg,isv_a,isv_b,kernen,kernen_x_bodemfactor_buitengebied,kernen_met_500_adressen_of_meer,nieuwbouwwoningen,oad_x_percentage_slechte_bodem,oeverlengte_x_factor_bodem,oeverlengte_x_factor_bodem_x_dichtheidsfactor,omgevingsadressendichtheid,oppervlak_bebouwing,opp_beb_woonkern_x_bodemfactor,opp_beb_buitengebied_x_bodemfactor,oppervlakte_binnenwater,oppervlakte_buitenwater,oppervlakte_land,opp_land_x_percentage_slechte_bodem,opp_land_x_factor_bodem,woonruimten,woonruimten_x_bodemfactor_woonkern,woonruimten_x_percentage_slechte_bodem,vast_bedrag,vast_bedrag_Amsterdam,vast_bedrag_Rotterdam,vast_bedrag_Den_Haag,vast_bedrag_Utrecht,vast_bedrag_Baarle_Nassau,vast_bedrag_waddengemeenten,Herindeling,rioleringen,Suppletie_bommenregeling,Suppletie_uitkering_OZB,Aanvullende_Uitkering,Aanvullende_uitkering_volgend_jaar,Antillianengemeenten,Beeldende_kunst_en_vormgeving,Bestaand_Rotterdams_gebied,Bodemsanering,Centra_voor_jeugd_en_gezin,Combinatiefuncties,Eigen_kracht,Gezond_in_de_stad,Green_Deal,Herstructurering_bedrijfsterreinen,ISV,Jeugd,Jeugdwerkloosheid,Jeugdzorg,LHBT_emancipatiebeleid,Maatschappelijke_opvang,Nationale_gebiedsontwikkelingen,Programma_Kwaliteitssprong_Zuid,Spoorse_doorsnijdingen,Sterke_regio_s,Veiligheidshuizen,Versterking_peuterspeelzalen,Vrouwenopvang,VSV_RMC_regio_G4,Zichtbare_Schakel,Quick_Wins_Binnenhavens,WE_CAN_Young,Werkgeversdienstverlening,Voorbereiding_ESF_programma,Kosten_uitvoering_inburgering,Knelpunten_verdeelproblematiek,Uitvoeringskosten_inburgering,WMO,WUW_middelen_GF,Jaar,uitkering,VTH_provinciale_taken,Bijdrage_IODS_kwaliteitsprojecten,Zuiderzeelijn,Mantelzorg,Pilot_Participatieverklaring,Meetsysteem_van_Geluidsnet,Erfgoed_en_ruimte,Aldel,Koopkrachttegemoetkoming,Beter_benutten,Facbesluit_opvangcentra,Oversampling_woOn,Implementatie_participatiewet,Pilot_integraal_PGB,Ondersteuning_raadsman_Loppersum,minderheden_drempel,huishoudens,achterstandsleerlingen_drempel,oad_drempel,Suppletie_uitkering,Groeiopgave_Almere,Programma_verbetering_GGZ,Huishoudelijke_hulp_toelage,Bed_bad_en_brood,Nota_Ruimte,Nieuwe_Kans_Rotterdam,Pilot_nabestaanden,EIP_Waterconferentie,Herstructurering_wsw_sector,Wijkaanpak_Den_Haag,Kennisplatform_Nalevingnet,Link2Work,Projectstimuleringsregeling,Stimulering_regarbeidsmigranten,IPSV,City_Deal,Sociaal_domein,eenpersoonshuishoudens,loonkostensubsidie,oppervlak_bebouwing_woonkernen,oppervlak_bebouwing_buitengebied,Cumulatieregeling_GF,Bevolkingsdaling,Versterking_aanpak_jihadisme,Voorschoolse_voorz_peuters,Actieplan_Luchtkwaliteit,Projectstimuleringsreg_Inter_V,Kracht_on_Tour,Pilot_weerbaar_opvoeden,Geg_uitwisseling_nazorg_ex_ged,Jaarconferentie_Techniekpact,Vierkant_voor_Werk,Leeuwarden_Culturele_Hoofdstad,Expositie_The_STEC_Food,MIRT_onderzoek_A2,Business_Marathon_Smart_Mob,Asiel_partieel_effect,Asiel_participatie_en_integr,Scholenprogramma_Groningen,Huisvesting_onderwijs_asiel,Aansluiting_A58,Nieuwe_Hollandse_Waterlinie,Innovatieve_aanpak_energie,Twinning_arbeidsbemiddeling,OV_SAAL_MLT,Pilot_EU_migranten,HSL_Zuid_geluidsproces,Arbeidsparticipatie,Marken_boven_water,Suppletie_uitkering_VHROSV,BRP_straten,Basisreg_Grootschalige_Topogr,Armoedebestrijding_kinderen
10503,22,Leek,1268400000,256900000,281750000,281.75,343,0.49,160.59,530,19611,4764,3699,1124,0,0,0,0,2650,1793.1,265,1552,0,0,19880,13470,1405.6,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.06,2,0,0,2039.19,6467.82,6101.13,181,128.27,54.54,108,0,6320,0,6383.2,8569,8654.69,0,1,0,0,0,0,0,0,0,0,0,129214,0,0,0,0,0,0,427260,58800,0,0,0,0,0,0,0,65429,0,0,0,0,0,0,0,47673.64,0,0,0,0,0,0,0,8198,0,0,2190181,0,1/1/13,18753763.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10540,24,Loppersum,558400000,107100000,133000000,133,171,0.33,87.64,261,10292,2427,1833,513,0,0,0,524.74,1480,1016.3,95,764,0,0,7490,510,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18.88,2,0,322.55,2820.3,2725.31,871.76,117,65.88,74.34,96,0,11103,4108.11,13212.57,4637,5657.14,1715.69,1,0,0,0,0,0,0,0,185.02,0,99381,925000,0,0,0,0,0,216740,19440,0,0,0,0,0,0,0,49140,0,0,0,0,0,0,0,54572.52,0,0,0,0,0,0,0,2342,0,0,1182342,0,1/1/13,12066950.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10562,25,Marum,716000000,120400000,148050000,148.05,151,0.3,78.65,267,10382,2618,1681,479,0,0,0,0,1180,752,70,742,0,0,9280,2570,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,936,1497.54,1292.56,113,58,56,43,0,6446,0,6446,4280,4280,0,1,0,0,0,0,0,0,0,0,0,12018,0,0,0,0,0,0,225960,32800,0,0,0,0,0,0,0,50341,0,0,0,0,0,0,0,36736.56,0,0,0,0,0,0,0,5856,0,0,858865,0,1/1/13,9010304.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11673,1987,Menterwolde,704000000,160650000,176400000,176.4,286,0.45,137.1,353,12370,2754,2085,524,0,0,0,121.82,1770,1223.9,115,1304,0,0,9750,1770,0,0,657,0,603,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,1472,2249.09,1873.12,110,66,45,137,0,8025,0,8025,5461,5461,0,1,0,0,0,0,0,0,0,0,0,136618,0,0,0,0,0,0,252717,36600,0,0,0,0,0,0,0,51489,0,0,0,0,0,0,0,38180.6,0,0,82651,0,0,0,0,2733,0,0,1362900,0,1/1/13,11941655.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11760,1895,Oldambt,2045200000,567350000,602350000,602.35,1199,0.77,477.06,1189,38748,7975,8194,2543,0,0,0,459.96,7080,5172.8,515,4876,0,0,39670,29830,1803.2,904.86,2082,2903,3452,10,0,0,0,0,0,0,0,0,0,0,21,22.89,6,0,0,5932.87,11550.17,15715.33,368,257.92,130.8,1370,5546,22680,0,24721.2,19072,19834.88,0,1,0,0,0,0,0,0,1739731.28,1850.16,0,810182,0,0,0,0,0,0,779758,103800,0,0,0,0,0,0,0,87220,0,0,0,0,0,0,0,114785.02,0,0,0,0,0,0,0,14053,964,0,5906597,0,1/1/13,47296789.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10717,765,Pekela,604000000,90300000,102900000,102.9,401,0.53,183.97,415,12804,2812,2484,755,0,0,0,457.05,2240,1678.7,155,1772,0,29.9,13160,9120,244.8,0,537,0,2102,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,1530,3901.64,2913.15,108,89,19,111,0,4910,0,4910,5613,5613,0,1,0,0,0,0,0,0,0,0,0,167722,0,0,0,0,0,0,267891,29920,0,0,0,0,0,0,0,51588,0,0,0,0,0,0,0,32150.92,0,0,0,0,0,0,0,8979,0,0,1889216,0,1/1/13,14350540.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10822,40,Slochteren,938400000,282800000,317800000,317.8,206,0.37,103.05,378,15622,3808,2561,721,0,0,0,0,1820,1153.8,150,1048,0,49.8,10870,1060,120.8,0,1056,0,590,0,0,0,0,0,0,0,0,0,0,0,14,14.14,5,0,0,3849.11,3902.1,1399.02,172,95,77.77,822,0,15065,0,15215.65,6662,6662,0,1,0,0,0,0,0,0,0,0,0,63613,0,0,0,0,0,0,333157,46200,0,0,0,0,0,0,0,58849,0,0,0,0,0,0,0,63551.04,0,0,0,0,0,0,0,5465,0,0,1344709,0,1/1/13,13866522.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10670,37,Stadskanaal,1800000000,310800000,343700000,343.7,880,0.72,364.5,920,32885,7219,7244,2425,0,0,0,919.54,5920,4322.6,265,4273,0,0,36270,32230,1291.2,1220.56,1804,0,3442,0,0,0,0,0,0,0,0,0,0,0,13,13,3,0,0,3199,8770.25,11581.15,259,200,59,228,0,11767,0,11767,15974,15974,0,1,0,0,0,0,0,0,0,185.02,0,206649,0,0,0,0,0,0,680133,131880,0,0,0,0,0,0,0,82109,0,0,0,0,0,0,0,87291.66,0,0,85543,0,0,0,0,7417,0,0,4936844,0,1/1/13,36693857.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10132,9,Ten Boer,418400000,76650000,88200000,88.2,68,0.16,39.29,168,7500,2002,1236,364,0,0,0,0,870,559.3,90,337,0,0,5350,600,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9.6,1,0,405.15,1378.8,2426.63,1012.88,63,42.16,34.8,41,0,4532,1812.8,5438.4,3107,3852.68,1242.8,1,0,0,0,0,0,0,0,0,0,90470,0,0,0,0,0,0,171235,34720,0,0,0,0,0,0,0,46362,0,0,0,0,0,0,0,30247.8,0,0,0,0,0,0,0,3904,0,0,626068,0,1/1/13,6785265.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10906,47,Veendam,1471600000,350000000,378000000,378,782,0.69,328.92,843,27914,6235,5435,1671,0,0,0,0,4600,3291.4,1435,3243,0,0,31520,31900,1694.4,889.92,1405,0,3654,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,3396,12049.82,11698.88,233,177,56,272,0,7595,0,7595,13086,13086,0,1,0,0,0,0,0,0,0,0,0,116421,0,0,0,0,0,0,616265,61760,0,0,0,0,0,0,0,75514,0,0,0,0,0,0,0,58539.88,0,0,0,0,0,0,0,16786,0,0,3676000,0,1/1/13,30532515.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
