Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,Baten w.v. bij ROCs Voorlopig,Bbz Budget Definitief
Roerdalen,4016287,3597792,60263,544589,67288,746937,67199,628,12242
Maasdonk,830232,788305,32419,101254,18526,123527,18526,0,16547
Rijnwoude,1441378,1576309,41577,176679,28054,243179,28054,0,39509
Roosendaal,21151682,21909981,508850,3486227,168563,5504641,172477,54004,44034
Schouwen-Duiveland,4873834,5158791,182343,657702,90493,795915,107753,68412,33320
Aa en Hunze,3958324,4181982,138520,718437,23220,727189,0,0,28481
Borger-Odoorn,5831112,6404237,228938,1082652,97615,974962,97615,1082652,9511
Cuijk,4975961,4936333,108470,596475,82653,691553,82653,8889,10146
Landerd,1062926,1015289,1608,134784,22124,142272,22124,0,0
De Wolden,2419741,2556542,139085,461680,170657,454144,170657,14481,12201
Noord-Beveland,1054217,1196018,0,151062,12090,218074,24904,35,8172
Wijdemeren,2417499,2670682,46595,314522,34400,345696,34400,925,8161
Noordenveld,6199940,6913093,80458,956744,74731,987475,74731,20964,34657
Twenterand,6283686,5871967,121243,804622,139316,754696,139316,10437,30855
Westerveld,3204391,3671540,81719,468920,131784,451285,131784,270,6962
Sint Anthonis,838862,715467,28307,108298,14560,127985,14560,0,6426
Lingewaard,7922631,6177697,176537,902551,136591,679933,136591,3301,24051
Cranendonck,2817948,2988611,74024,321992,21156,380704,21128,4447,5832
Steenwijkerland,11243406,10787018,207973,1445054,47679,1647149,47679,2970,52755
Moerdijk,4947467,4896407,94421,591910,129517,,,,2698
Echt-Susteren,6625751,6552181,89027,873228,37146,878912,37146,0,45688
Sluis,3882972,3946811,87329,565390,37923,638992,37923,137337,0
Drimmelen,1978944,1934361,67073,271671,26844,276711,26809,5039,4732
Bernheze,2765093,3077820,11162,354950,79535,245969,0,6823,21152
Ferwerderadiel,2195224,2320370,103354,287459,7879,335375,7879,1232,5408
Alphen-Chaam,577243,718971,10139,72944,14174,93647,14634,0,48537
Bergeijk,1953200,1993752,17196,172961,15404,336207,15404,1000,2484
Bladel,1529441,1717859,26247,244225,91443,352981,91443,0,10020
Gulpen-Wittem,1681307,1808539,6550,345028,39167,335044,0,958,20121
Tynaarlo,4876458,4901017,218844,634277,22904,639886,0,0,81992
Midden-Drenthe,5604587,5716744,99454,978794,247158,1161705,246833,0,8965
Overbetuwe,7423874,7009065,182169,1004589,124932,1046040,124932,1305,37588
Hof van Twente,4516987,4437278,51488,604659,116324,791341,116171,5917,109950
Neder-Betuwe,2597672,3126095,43561,314901,27619,261292,0,0,4730
Rijssen-Holten,4197767,4120078,108254,510729,151859,703627,151408,35057,35600
Geldrop-Mierlo,8944644,9434514,200977,1246197,75057,1194034,0,4166,37057
Olst-Wijhe,1582086,2159073,53935,302752,24201,377466,24201,70705,16960
Dinkelland,2046290,2162219,16175,256695,68012,332846,67923,152,50054
Westland,14204770,13937874,225365,1554868,288343,1670562,288343,0,264590
Midden-Delfland,1223336,1475509,45440,269617,81735,212885,82796,0,2097
Berkelland,6840332,6975729,296780,1000653,154256,1122947,154256,57911,135045
Bronckhorst,3360843,3347821,70203,373121,53420,437815,40141,0,94759
Sittard-Geleen,39911485,37519493,562018,6584663,167675,7335116,167675,230866,29715
Kaag en Braassem,1861573,2248341,56463,287948,60153,340770,60153,720,30597
Dantumadiel,6085115,6773528,214118,889754,30364,951205,30364,9069,17041
Zuidplas,6294975,6602772,52384,954904,80813,1169578,80813,1033727,20756
Peel en Maas,4908833,4576155,58589,576950,50290,684870,40124,13174,109861
Oldambt,17297077,18259876,326871,3433721,140539,3025845,140539,142045,37640
Zwartewaterland,2049793,2727339,78330,213440,55857,,,,26210
Sûdwest-Fryslân,25590717,27495285,623895,3882704,357474,3069404,357474,133476,161264
Bodegraven-Reeuwijk,2795567,2768111,38800,372950,53596,388638,53569,0,14868
Eijsden-Margraten,2838414,2821067,21199,551410,69408,582316,0,1821,2553
Stichtse Vecht,9368417,9205325,196187,966609,106869,1069938,109341,1350,36788
Menameradiel,2089549,2586508,47073,342210,11341,404543,11341,2700,15846
Hollands Kroon,6455249,6165923,220982,761598,54876,850043,54876,5663,51117
Leidschendam-Voorburg,25734392,24281119,906859,3768414,236859,3699051,236859,39400,49507
Goeree-Overflakkee,4366868,4197792,54980,1382641,857201,1198927,617760,882,16775
Pijnacker-Nootdorp,6223236,6179072,72257,712570,88740,542690,87688,581,24133
Molenwaard,2221498,2319893,78754,310764,47492,250764,47492,0,739
Montferland,5960413,7297166,337436,1103661,240744,1202137,240744,74358,19192
Menterwolde,3997453,4324065,98125,752066,44140,936603,44140,13691,15653
