Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,Baten w.v. bij ROCs Voorlopig,Bbz Budget Definitief
Papendrecht,5817775,5993470,88418,878548,59197,946160,67464,19306,14258
Ridderkerk,10291670,8992413,125465,1348744,104073,1323912,103936,10495,40291
Rotterdam,548605617,560934284,12938725,97253864,2730858,86911127,2086900,1289754,361187
Rijswijk,18945066,17813187,396447,3109615,237477,3144286,237166,12847,50726
Schiedam,42993634,34778648,1139357,6708339,406311,5892027,394636,0,38858
Schoonhoven,2662067,2978405,124677,264779,21416,318012,21416,0,43936
Sliedrecht,4756308,4881303,73508,613167,80021,692690,91196,9534,0
Cromstrijen,1045406,879374,13358,167869,16920,208401,16898,19264,0
Spijkenisse,29312121,28442553,804405,4069828,241445,4649054,241128,0,29406
Albrandswaard,3736191,3863330,53010,393411,38959,451905,38908,15108,1425
Westvoorne,1016328,1175590,8940,166546,31417,168543,29808,1458,2779
Strijen,847442,933234,11425,117110,14766,137887,14747,14595,0
Vianen,2769104,3309727,128168,305393,38968,234535,16251,0,662
Vlaardingen,34572574,29639333,756784,4980612,327218,5260099,327218,81702,13048
Vlist,852689,962063,34661,101729,11402,108758,11402,0,0
Voorschoten,3579567,4240616,125641,477359,143631,524219,143631,68,2052
Waddinxveen,2573223,3318113,103680,351698,59448,459068,59448,128396,992
Wassenaar,4224979,4630060,60684,719778,42082,373668,42082,228,5254
Woerden,6239893,6655173,142595,741367,81822,1156230,81716,7290,19502
Zoetermeer,42814921,42190921,149863,7040195,401214,8056981,399202,4655,45861
Zoeterwoude,590475,804664,0,69595,13323,17213,3907,0,3616
Zwijndrecht,12716025,12279776,189618,1936498,118590,,,,10995
Nederlek,2257366,2200817,35,242739,17249,275721,17226,0,10183
Ouderkerk,667406,881086,24273,88033,10581,102039,10567,0,18472
Gaasterlân-Sleat,1174431,1476785,4493,203849,15382,177445,9975,0,12366
Borsele,2657014,2646846,51323,401233,76031,373596,62790,2022,12189
Goes,9853058,8472861,0,1530671,81127,2123662,117356,0,76438
West Maas en Waal,2043795,2563905,30597,238515,16580,125459,0,678,47241
Hulst,4383589,3941733,76491,579310,48299,657223,48299,0,11571
Kapelle,758011,825389,29913,117257,17393,140077,17393,0,7525
Middelburg,16466037,16335706,350148,2615295,97655,1824293,106728,0,19519
Giessenlanden,916229,901792,26577,133141,20527,133141,20527,0,0
Reimerswaal,2670740,2486904,124107,407128,45383,457715,44705,1634,10982
Zederik,955619,937598,18539,149956,21771,119956,21771,0,0
Terneuzen,14283037,13566698,197707,2353018,117995,1867480,117838,8568,10177
Tholen,3818202,3439970,53618,546948,56640,409970,56640,1894,32062
Veere,2091820,2092198,39253,283221,28337,219907,28337,0,30475
Vlissingen,19732806,23309029,303363,3812503,104665,2309286,104665,270,10063
Lingewaal,1077792,1144088,21506,147201,17622,147201,17622,0,4105
De Ronde Venen,5190455,4542573,130241,532255,60961,475635,25117,0,14590
Tytsjerksteradiel,6703516,7659814,143018,986771,45309,1152360,45309,8294,17541
Aalburg,828828,1002296,3284,234139,155584,241807,155380,661,34
Asten,2435680,2458798,21708,281763,46232,301320,46232,1140,6832
Baarle-Nassau,706945,882028,29739,77271,7352,78212,6436,0,434
Bergen op Zoom,21848846,21471263,483418,3739216,146786,3819589,146786,33608,15701
Best,5496240,5200483,67934,614227,65152,614484,64960,0,32015
Boekel,897679,972426,11577,92838,17491,156605,17491,4372,9578
Boxmeer,3700920,3597370,90612,422485,100482,421928,100482,0,25105
Boxtel,5133145,5231915,72492,668127,65656,900497,65656,33981,3921
