Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Hulst,4356676,4207163,117351,515923,53949,5965,33943,0,17618,0,0,13076,27425,0
Kapelle,737595,971179,20257,81968,13689,0,620,14541,11652,0,0,735,19421,0
Middelburg,16958769,17830526,401540,2018585,103709,14668,71449,19600,39388,0,0,32293,62161,0
Giessenlanden,1007045,1038619,38699,122036,24189,0,15715,5500,2350,0,0,1301,7031,0
Reimerswaal,2366189,2520920,117436,310275,36077,17523,5878,150000,17113,0,0,597,0,0
Zederik,909809,1051374,20021,116296,19628,602,1451,0,0,0,0,356,0,0
Terneuzen,14797746,14531205,281809,1924211,128400,5953,15258,89219,38522,0,2542,10254,39533,8971
Tholen,3524725,3963622,107924,428082,43337,4127,61279,29341,20366,0,0,420,87794,0
Veere,2085270,2329374,54578,236856,29852,7690,53587,0,5084,0,0,17340,51867,0
Vlissingen,20901008,25959082,363273,2951536,122344,19060,57954,107800,54819,0,0,37237,101584,0
Lingewaal,1121935,1271439,56013,123051,26605,0,0,15000,11750,0,0,0,0,0
De Ronde Venen,5375654,5445319,59975,461759,77522,11402,90181,10597,32006,0,0,1810,22005,0
Tytsjerksteradiel,7438624,7988429,204148,811119,61078,10298,57122,37000,16406,0,0,28480,34004,0
Aalburg,879587,1159857,30102,113348,50836,0,0,80000,13735,0,0,0,19204,0
Asten,2389444,2510372,27726,203646,32817,29063,27016,0,5084,0,0,13721,117252,0
Baarle-Nassau,709116,873810,22324,61773,8052,1210,0,5438,0,0,0,5100,6553,0
Bergen op Zoom,22243750,24528560,637871,2890240,192706,7697,90719,30500,80370,0,0,14845,32380,0
Best,5461777,,,516091,64544,14518,2148,36000,12400,0,0,469,17164,0
Boekel,981720,1163499,14936,73686,18395,2671,0,0,9590,0,0,0,5824,0
Boxmeer,3731982,4104718,41324,338441,55073,19680,11609,42755,26932,0,0,0,125481,0
Boxtel,5282232,5610174,80196,579951,77691,4309,17963,46997,42300,0,0,49,16396,0
