Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Meerssen,2936705,4277666,91562,625548,108154,666823,0,2264,0,17901
Mook en Middelaar,942087,1090491,9136,179019,37072,214370,36794,0,0,16047
Nederweert,1425162,1524131,15076,260292,96607,278956,96548,0,0,6618
Nuth,2821227,2676089,83335,524955,87707,532408,87707,0,0,7878
Roermond,22572952,20472619,420375,4993702,451047,6721631,451047,301554,0,73267
Schinnen,2493351,2454439,42904,491846,82107,386682,82107,0,0,3087
Simpelveld,1583864,1595761,84720,338553,70564,338339,70562,0,0,4948
Stein,3721055,4107621,120161,820450,180380,647179,180380,3402,0,12716
Vaals,4565180,4249727,91562,761576,65107,731762,0,2270,0,8663
Venlo,36068350,37083544,925576,8069734,809185,6263207,812828,0,0,185029
Venray,8748079,9012428,201547,1749385,273002,1883621,273002,27167,0,49770
Voerendaal,1831641,2093537,49378,367863,65616,364802,65616,0,0,17703
Weert,11991148,11407089,261664,2725184,328746,2645904,328746,9323,0,104561
Valkenburg aan de Geul,4136406,4102126,129492,736246,106382,789321,106382,0,0,23931
Lelystad,26635703,28005877,771679,5650763,556151,7708764,543732,317525,0,215947
Horst aan de Maas,4287183,4303117,57447,552667,255047,810089,255047,0,0,143016
Oude IJsselstreek,5871491,6127634,130180,1062169,268883,1444073,268883,267421,0,32004
Teylingen,2489561,2921966,109129,640656,177002,734104,177002,12499,0,5974
Utrechtse Heuvelrug,5314664,5974448,301384,966125,246830,1071837,246830,700,0,15130
Oost Gelre,3306956,3616646,138224,426817,175962,1111133,175962,127936,0,52274
Koggenland,1281268,1605805,20648,301948,119854,447127,138367,3005,0,89236
Lansingerland,5103960,5714322,243299,906423,290195,1036501,290195,21222,0,93043
Leudal,3889266,3609168,66971,533218,194148,988731,194148,0,0,87695
Maasgouw,3073797,3252295,135394,545059,148164,665318,148164,18532,0,22415
Eemsmond,4023756,4788396,8487,865951,102573,905977,101802,0,0,17568
Gemert-Bakel,4338601,4214512,95254,747156,183499,679822,183499,6093,0,55004
Halderberge,3934913,4416490,154266,817470,216755,1239151,216755,6442,0,10639
Heeze-Leende,1268930,1296713,14057,238233,72905,279783,50716,11747,0,23433
Laarbeek,2240493,2311966,89818,386050,132434,479958,132434,0,0,2188
De Marne,2824232,2767501,109240,512200,71962,600713,71962,1278,0,26377
Reusel-De Mierden,851819,1004573,44519,169451,75294,245401,75294,0,0,11751
Roerdalen,3868333,3590070,71047,595341,147671,817080,147671,1781,0,23424
Maasdonk,648818,741213,28092,158853,70715,152411,70715,0,0,1911
Rijnwoude,1306716,1406838,17463,295115,100508,242430,100508,5566,0,26821
Roosendaal,17413016,18656599,211521,4208634,574865,4071597,459378,43988,22216,51318
Schouwen-Duiveland,4143073,4643689,176354,836597,227443,985450,227443,4378,0,55938
Aa en Hunze,3794219,3761496,209561,812159,141808,728826,0,0,0,78305
Borger-Odoorn,4808287,5591241,213685,1070533,157100,1054067,157100,27822,0,60247
Cuijk,4335988,4667036,141759,897807,170464,888032,170464,0,0,8733
Landerd,1132514,852150,7526,211046,78412,235082,78412,0,0,0
De Wolden,2208543,2483993,112471,422551,132100,478319,132100,47128,0,66442
Noord-Beveland,924499,1054827,0,163692,38041,228884,47468,0,0,2155
Wijdemeren,2093691,2387374,21038,404870,124479,455658,124479,800,0,27364
Noordenveld,5256969,6165097,92811,945148,143995,1024435,143995,26205,0,38499
Twenterand,5392437,5162593,146011,901706,234188,4263934,234188,77829,0,43769
Westerveld,2754392,3243029,137582,533744,112542,354944,112542,1620,0,25867
Sint Anthonis,920871,662856,4297,162239,49472,134649,49100,0,0,29092
Lingewaard,6401320,6111309,118533,1096693,294613,1184326,294613,35271,0,95302
Cranendonck,2577766,2527709,40754,438678,124483,496235,87466,1350,0,19885
Steenwijkerland,8815489,9720160,295132,1628372,262289,1814158,262289,2228,0,60154
Moerdijk,4353670,4518060,60627,643370,220895,855409,220895,802,0,8117
Echt-Susteren,6007327,6177071,124612,1020345,204666,1317348,204666,0,0,56838
Sluis,3535274,3677481,97325,691722,152029,921642,150887,6564,0,42642
Drimmelen,1713889,1759792,49628,394316,158663,417531,157560,2182,0,39866
Bernheze,2691193,2762222,24356,488646,180993,510155,185578,17772,0,7536
Ferwerderadiel,1831178,1979730,42788,340497,50490,358813,50490,9452,0,16576
Alphen-Chaam,519748,589055,10936,126547,53796,137473,43922,0,0,5624
Bergeijk,1630800,1857172,36173,283480,93440,394315,93440,31,0,601
Bladel,1227208,1519084,69830,263487,111735,371495,111735,0,0,11109
Gulpen-Wittem,1585677,1724560,31321,369413,90040,262553,0,1356,0,22771
Tynaarlo,4487955,4867517,115650,743180,141560,682111,0,0,0,33125
Midden-Drenthe,5320543,4933082,79433,885530,185931,1214043,184534,0,0,69833
Overbetuwe,6718053,6213287,195178,1236456,254711,1387982,254711,6308,0,93129
Hof van Twente,3967509,4210865,61376,722762,206763,913962,205210,7244,0,142813
Neder-Betuwe,2223245,2584308,36155,438766,157987,162047,0,2168,0,94906
Rijssen-Holten,3767138,3579181,147553,535363,220716,782455,220716,91063,0,37277
Geldrop-Mierlo,7754150,8553736,143975,1473420,247193,1832924,247193,5093,0,16658
Olst-Wijhe,1620340,1696498,50842,405788,92035,512963,92013,2430,0,38891
Dinkelland,1782378,2096360,51207,322898,139289,439915,138243,8236,0,70915
Westland,12068823,12276253,252907,1998972,629781,2165819,611223,0,0,399701
Midden-Delfland,1010447,1229172,26164,284705,91081,216621,115055,0,0,50752
Berkelland,5516740,6413980,307144,963410,239895,1333780,239895,107912,0,151160
Bronckhorst,3059256,3140484,142284,544752,200999,571123,200999,0,0,165277
Sittard-Geleen,35821817,36663191,1596539,8203678,664072,72338163,659076,431776,0,41891
Kaag en Braassem,1604868,1856278,38818,475387,154664,441392,154664,2100,0,11510
Dantumadiel,5212740,6002210,128657,1014954,126246,921758,126246,27806,0,30797
Zuidplas,5218513,5974443,139571,1122446,242513,923617,242513,1125308,242513,91433
Peel en Maas,4502388,4129198,67197,700760,273201,763222,273201,20004,0,85735
Oldambt,18729102,16071047,350955,3712774,289616,4910384,287440,67143,0,14186
Zwartewaterland,1789969,2156619,88131,273117,133418,323888,135024,1080,0,8152
Súdwest Fryslân,22571206,23083032,362813,4222303,463427,4599624,463427,175431,0,176156
Bodegraven-Reeuwijk,2633409,2669123,33593,602849,191758,702508,191758,0,0,27193
Eijsden-Margraten,2786704,2605300,81100,564463,132113,441596,0,2087,0,6645
Stichtse Vecht,8025205,8507867,206862,1276175,347708,1339591,343126,0,0,64483
Menameradiel,1680863,2182584,82288,408879,72714,473643,72714,9066,0,15569
Hollands Kroon,5795090,5496776,155177,1053622,294894,1116025,294894,8116,0,93004
Leidschendam-Voorburg,22825476,21183667,410813,4455261,458504,7201976,465417,13723,0,71495
Pijnacker-Nootdorp,5000574,5634901,87882,790916,249683,928141,249683,0,0,178703
Montferland,5231322,6201301,222455,972169,238445,1132442,238445,48645,0,78105
Menterwolde,3878986,3787754,138035,816460,88167,949847,88167,16782,0,35009
