Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Ede,17808586,18689886,642529,4255286,666244,5126755,661239,246713,0,135789
Elburg,2271226,2367495,112899,401388,131034,621146,131034,2930,0,41735
Epe,4433566,5007915,197473,1061037,217720,1148325,216084,67,0,20072
Ermelo,3181960,3491275,60364,585337,141799,687969,141799,72334,0,39219
Geldermalsen,2330291,2710276,83123,465698,157311,398137,157311,7220,0,17933
Groesbeek,3541973,3780028,180787,622890,119454,785117,119454,0,0,52261
Harderwijk,8226050,9150193,141024,1733388,319756,1804922,319756,188258,0,46082
Hattem,1190602,1329063,23378,210008,65737,201523,65744,1620,0,2291
Heerde,1624325,1901838,29395,291963,117426,280280,117426,0,0,39842
Heumen,2181020,2377384,101585,423773,75224,512698,75224,1080,0,62544
Lochem,3995486,4216965,143058,714935,153178,578177,153178,10481,0,70588
Maasdriel,2096521,2110471,54734,477447,161668,526854,137752,2364,0,72309
Millingen aan de Rijn,1251074,1251166,34825,197711,34761,253072,34761,0,0,1559
Nijkerk,3923319,3175596,85183,611674,240526,1211026,240526,1763,0,68802
Nijmegen,83496410,88112003,2910903,16857538,1007756,19525350,1000186,138400,0,291505
Oldebroek,1939353,2066610,40707,372459,167682,382438,149989,44433,0,54643
Putten,1936283,2093056,80603,402392,155465,473946,155465,4279,0,33092
Renkum,5878559,6751632,162555,1029325,161634,1141898,161634,1897,0,27834
Rheden,9651479,11129020,326778,2083277,261412,1920258,261412,100000,0,57114
Rozendaal,62002,50341,100,20438,8890,2000,0,0,0,0
Scherpenzeel,340994,426702,3991,89659,52214,130183,51822,0,0,7705
Tiel,12012213,13729259,321579,2745222,322953,1820486,0,5993,0,192079
