Gemeente,Gebundelde uitkering,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Definitief,,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief,Bbz Lasten Voorlopig,Bbz Baten Voorlopig,Rijksvergoeding Voorlopig
's-Gravenhage,260586197.114389,275668486,10354323,129297448.395625,6344811.31397012,108925886,6344811,6081636,0,424039.746590459,4022588,1443886,2025667.65
Hardinxveld-Giessendam,817024.194002089,1063317,97651,386396.752149444,148388.747871443,398733,148389,0,0,0,47211,11373,27992.25
Hellevoetsluis,8015976.80657333,9118202,290201,3695624.78396143,349981.399741514,4405495,335229,60552,0,57361.8272864685,711001,121749,453272.55
Hendrik-Ido-Ambacht,1489782.5857913,2369852,90121,764830.364244491,187257.720277857,1007605,187258,17618,0,935.4163509181,44419,0,33314.25
Stede Broec,2084616.10824322,1730177,67520,967144.71433984,186527.767904304,1019004,186528,0,0,11866.9478889802,147337,21565,97863
Hillegom,1802271.27491897,2159115,34360,822304.926639343,182330.698285364,717384,182331,0,0,12590.1667071461,218979,2149,165574.35
Katwijk,6265768.05577307,6451519,0,2611641.38305796,562015.065547844,562015,562015,0,0,8655.6845521249,238527,18753,170770.65
Krimpen aan den IJssel,3690164.03404246,4172452,125449,1417409.57064878,230288.216746362,1410472,11470,22090,0,1180.6860125425,38071,20496,14620.8
Leerdam,2996296.37597399,3443749,140620,1521287.18699636,219846.112148897,1528957,219846,0,0,1083.8555175761,27605,485,22943.55
Leiden,34201196.2344396,38392003,1364340,17156486.7637706,949807.43859482,22939618,1761846,134231,0,25614.3638114603,321336,129077,158507.1
Leiderdorp,3143697.30864907,3590090,101029,1292650.08409538,187330.894811203,1824433,313226,0,0,4496.4422271633,21777,26876,-2986.35
Lisse,1461485.92367856,1959329,88385,672426.026294143,172395.336358742,566531,172395,0,0,1524.5480583516,46597,0,36720
Maassluis,8137986.76160276,10356756,218584,4237327.24604395,340183.940769203,3861426,340184,47785,0,7555.4214412016,61753,17395,35493.6
Middelharnis,1350107.22887247,1231379,74089,576169.989847118,138944.071291633,796386.21,253819,10598.3,0,4355.8030908997,38018,15698,18729.3
Bernisse,831929.168629277,863546,40307,380998.180613202,95478.2050334343,406697,87948,5006,0,32564.9754841357,72177,10126,47768.55
Nieuwkoop,1392198.54788815,1853579,40883,821426.802424769,215028.362131382,980562,215028,-461,0,5394.0376071751,70733,47526,18429
Nieuw-Lekkerland,834055.162688813,1020493,58446,303576.329390177,80507.2972246931,339203,80507,0,0,11704.5787856885,5200,1327,3684.75
Noordwijk,2311759.68732251,2722169,48096,936871.845409857,213953.11963693,808514,213953,0,0,10004.6860440715,75320,7857,52778.55
Noordwijkerhout,957083.646977958,1218692,21251,472163.353361293,125927.653395466,400581,125928,0,0,937.3984762889,14408,1451,11422.8
Oegstgeest,1915700.89627701,2214705,48947,795537.320569876,122673.694967681,380361,122674,4174,0,1401.6562853618,47790,13031,27546.15
Oostflakkee,791299.551301858,913728,19238,384404.256443825,76986.943475531,385476,66323,6190,0,18174.5847032351,107137,67362,33759
Oud-Beijerland,2045517.22170844,2561921,42072,918815.516974365,179507.019906216,1157839,179507,16041,0,1990.700815985,63643,0,49898.25
Binnenmaas,1831580.65029007,2185862,24491,868533.793425176,217695.43506889,1072484,217695,13764,0,2182.9210944213,147455,0,114056.85
Korendijk,584843.153117588,693956,14103,299904.017685846,83877.5361020528,412420,83878,27156,0,1321.9675042504,14046,3800,8550.9
