Gemeente,Gebundelde uitkering,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Definitief,,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief,Bbz Lasten Voorlopig,Bbz Baten Voorlopig,Rijksvergoeding Voorlopig
De Ronde Venen,2897247.5167895,3176536,46450,1173504.74625995,273643.148646756,1214315,282845,0,0,2867.7821160596,31263,72265,-28805.85
Tytsjerksteradiel,4009831.66230209,5213582,91296,1765220.69939207,242203.497134543,1792586,242196,0,0,40986.328770201,165655,49318,92520.15
Aalburg,614626.260734593,739483,8397,296847.330185975,117201.865465856,394674.17,113777,25184,0,1001.8542568654,75793,1305,59411.4
Asten,2028109.25991811,2297105,62960,578174.984106707,126328.936682545,503504,125900,5085,0,10117.0982468138,268751,193221,65413.35
Baarle-Nassau,716615.95673325,726723,13746,261020.608868722,50016.0141982549,280990,50016,0,0,6693.233610927,53965,126663,-54090.3
Bergen op Zoom,13748264.6680019,17399716,621563,6900353.71820419,662242.314844424,7483819,662242,77055,0,16854.824148761,465025,120505,268340.55
Best,4090385.26885142,4923183,25418,1374845.79595248,195683.354247936,1552930,307911,3098,0,12379.5980042704,158709,25113,108260.85
Boekel,694367.464827103,757925,22244,234112.475797155,82114.0202093605,280378,82114,0,0,87407.5810716031,42314,36779,4584.45
Boxmeer,2710292.54067835,3094324,28610,1082332.74762674,225503.617150876,1158603,225504,0,0,42429.3940404505,436494,138444,225602.55
Boxtel,3236833.31752698,4036627,99579,1787611.98727211,271821.338317093,1569514,271821,104255,53617,6766.8658978499,91368,25135,53179.95
Breda,47539445.3549531,50818247,1903454,23302076.8983746,1433633.7573043,23306920,1433634,0,0,76998.0367440385,233108,327204,-60055.8
Deurne,3797765.09091804,4560250,133582,1452310.63428587,265564.275092596,1549065,245684,0,0,138414.264770462,473892,281200,149796.3
Pekela,3809540.43260074,4646847,111116,1976316.01820149,147665.088654812,1742275,147665,306624,0,2434.3436035508,355580,22100,265133.55
Dongen,2640685.44132227,2900385,89469,1140668.6943904,241909.799022922,1313281,241910,0,0,172694.012701255,107828,98161,7978.35
Eersel,935908.074545881,972254,42572,454535.997431746,119002.886437023,473000,72421,0,0,16750.822214085,68407,60373,6891.9
Eindhoven,80889384.7772233,86233032,2136036,32205664.4320064,2117902.85502929,38841707,2117903,0,0,297121.519910712,4045127,1378706,2000757.45
Etten-Leur,5756203.58376929,6984872,309620,2690448.71531014,362511.026743362,3282536,362511,12401,0,13136.5726010312,162526,135519,32140.5
Geertruidenberg,2519922.88063966,3257981,211968,966804.626934473,191770.705762945,1050204,191771,0,0,14182.9329136763,138165,14994,105038.5
Gilze en Rijen,2869703.91865141,3652116,88527,1205474.31540647,225330.450973756,1081342,225330,21810,0,1610.9540421085,176612,352841,-131242.35
Goirle,2610440.69235573,2807322,106018,927770.944005429,169359.908896394,863218,169360,628,0,4072.8638707237,173044,76180,74694.75
Grave,1397015.33949101,1522352,22131,558311.319157012,100884.820487156,589441,100885,0,0,11086.5961423022,34369,19272,12189.15
Haaren,571057.974007491,770236,44884,284087.910258102,90045.15805519,312658,90045,60223,48176,5366.3107932497,183180,100018,66159.45
Helmond,26437173.8543992,33010141,1923355,12490567.7120428,924555.379113526,14750431,924555,207730,0,114729.293536087,537303,165678,303128.7
's-Hertogenbosch,38378559.2600813,42337296,1420322,18163528.4230624,1274006.95187155,19820160,1649770,0,0,58206.9559914452,504140,98298,312742.35
Heusden,4747881.47993174,6215673,174697,2120523.56217938,380486.300385549,1736916,409033,20241,0,10856.4723044024,437255,73223,279398.55
Hilvarenbeek,600675.479683971,799589,57769,358044.156070449,99826.9262588913,310748,99827,0,0,51351.6928079613,123805,68518,42055.8
Lith,463235.080410438,414107,8872,166052.843275252,51687.3655013582,189389,51687,0,0,0,7042,16637,-6139.95
Loon op Zand,2026478.22085038,2460545,49585,798691.442197332,222765.526625756,1139758,222766,464521,0,3441.8368235661,84272,17816,55119.3
Mill en Sint Hubert,898778.189483337,1118595,12549,323461.853822309,95565.0337568239,279461,95565,0,0,22352.4278065606,119817,36682,64084.05
"Nuenen, Gerwen en Nederwetten",3174331.88210679,4007493,94658,912153.252783347,150566.973236979,1097226,160217,19824,0,10433.852892876,69957,37965,27020.1
Oirschot,1014181.61734543,951561,29030,443046.637799885,121423.113944437,573528,144239,0,0,56677.9573275156,196431,115831,63508.2
Oisterwijk,2071391.29009433,2785363,61672,958336.648242867,192233.896043049,922993,192234,22824,0,1497.9728959727,176185,71929,80771.4
Oosterhout,8318503.80814545,8530934,405423,3810204.4176076,471371.616936454,8293541,471372,114551,0,63019.7307453788,498345,229063,215697.3
Oss,12783044.6825346,15180811,439555,6099881.16234365,756828.615152522,6420154,756829,43913,0,5725.2590154922,278180,58751,178096.2
Rucphen,3173162.48686962,3798953,165668,1083791.17334832,248274.256456746,1170122,248274,6750,5750,11351.4301154569,204269,41995,130892.85
Schijndel,1681555.50702682,2404730,29214,791118.583024245,208062.709093918,713842,208063,5919,0,3141.7421247757,140398,35521,80604.45
Sint-Michielsgestel,2068839.46161211,2237201,118993,841962.616011497,191182.891051495,786060,191183,10894,0,8896.0769006262,82113,20822,50195.85
Sint-Oedenrode,1163170.12358066,1233282,42252,470314.43447002,126245.448655971,478426,126240,302,0,2131.959366427,29628,15042,12664.35
Someren,1918478.7042037,2348359,31661,640778.804734119,144414.368718735,663610,143930,540,0,105076.856864625,71729,179268,-76945.2
Son en Breugel,1647955.1877234,1923924,37768,573816.796043201,82417.350661946,725501,82417,2430,0,2945.8053612691,34265,12533,18533.4
Steenbergen,2585171.73873007,2853686,178947,1035900.01838733,219771.289331062,1133431,219771,0,0,4522.1180919203,41209,10772,26990.55
Waterland,1218346.81310192,1348241,27742,456693.466369324,122045.546706486,463274,122046,3780,0,781.1776322492,32027,21179,10313.55
Tilburg,66494778.7619661,76823007,2540059,29578114.0181436,2005040.67296242,29847971,2495575,339891,0,228856.580726336,695298,357422,264563.85
Uden,6560515.10574883,6778381,230019,2897410.65874282,349375.732447982,2925291,349376,-8473,0,32799.6233396641,258862,243753,15892.05
Valkenswaard,5192132.15768398,6313459,149006,2015659.66157716,268415.922751649,2048969,175235,277164,277164,2483.0157932117,265282,55028,162885.9
Veghel,3360367.60167865,3598666,136838,2001634.1073456,355810.313519541,1593738,355810,15591,0,14287.4166149354,208164,124177,66436.35
Veldhoven,4585639.15533489,5407858,87931,1726682.12891,312571.495424778,1834336,325813,0,0,57619.5448789516,240515,183075,45840.9
Vught,2619274.96731061,3365513,92667,959770.3031092,177889.875348012,1154334,177890,185833,43909,3234.9020172035,99649,43356,49571.55
Waalre,1723275.92313468,2067321,78221,612604.444459339,102272.78399752,441923,102273,41838,35362,15863.6834630549,41907,26996,12617.25
Waalwijk,6827765.96742486,7792188,281006,3108287.88350038,443879.374207429,2588040,443879,27043,0,3893.0410523613,464473,106371,273903.45
Werkendam,1814333.50816776,1951305,37589,746082.52348454,242508.156315367,696478,242508,27361,0,1585.1864122881,17581,36573,-11606.85
Woensdrecht,2645453.47107692,3456426,17834,874804.468976137,183451.771880152,940337,183452,4427,4348,7812.1020884675,175576,15512,126779.1
Woudrichem,852783.313523157,1088606,29887,389041.296294877,138035.893372459,304489,138036,0,0,14312.2849471339,26654,20352,5578.35
Zundert,1262190.39852403,1670723,145509,561928.076377851,191305.09002465,675236,191305,71288,0,45989.9335618594,161049,157526,6970.2
Wormerland,1672064.59566247,2080763,30478,758196.761349379,112665.923861584,668006,112666,0,0,2335.2556880233,97492,43657,42050.55
