Gemeente,WWB I-deel Budget Definitief,WWB I-deel W.v. budget 65- Definitief,WWB I-deel W.v. budget 65+ Definitief,WWB I-deel Uitgaven Definitief,WWB I-deel W.v. uitgaven 65- Definitief,WWB I-deel W.v. uitgaven 65+ Definitief,WWB I-deel Ontvangsten Definitief,WWB I-deel W.v. ontvangsten 65- Definitief,WWB I-deel W.v. ontvangsten 65+ Definitief,WWB W-deel Budget Definitief,WWB W-deel Beschikbaar budget Definitief,WWB W-deel Uitgaven Definitief,WWB W-deel Ontvangsten Definitief,WWB W-deel Meeneemregeling Definitief,IOAW Budget Definitief,IOAW Uitgaven Definitief,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Definitief,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Definitief,Bbz Budget Definitief,Bbz Uitgaven Definitief,Bbz Ontvangsten Definitief,Bbz Rijksvergoeding Definitief
Amersfoort,32931934,31624847.1277653,1307087.01138725,36841058,35363892,1477166,1469581,1469581,0,9914102,10578372,11020227,166090,-275765,266710,720214,4280,540161.25,25304,144397,0,108297.75,62801,1077020,204862,688013
Baarn,3646161,3538870.28602495,107290.542394463,4536747,4471973,64774,226935,223910,3025,1110612,1110612,1110407,0,205,69643,166113,2398,124585.5,8353,0,0,0,518,38793,7546,25230
De Bilt,4640617,4490752.20512663,149865.011102631,4931067,4788599,142468,121887,109830,12057,928911,1132333,824377,2756,310712,47274,162659,1639,121995,17115,46916,1985,35187,2246,144911,2150,110888
Breukelen,601603,571013.645215996,30589.2695559015,754419,718037,36382,30670,30670,0,136469,212618,79569,0,102351.75,30250,92393,0,69616.5,2270,17219,0,8979.75,1093,40606,17276,51248
Bunnik,638312,619762.419020286,18549.3800124004,643170,631154,12016,4376,4376,0,208489,250235,226024,0,24211,11731,91428,0,68571.75,0,14847,0,11135.25,5354,38512,741,29080
Bunschoten,1073971,1059210.92484572,14759.7360734367,1123567,1106982,16585,34690,34690,0,223463,269053,117946,3138,154245,88885,201670,1161,151253.25,9979,31286,5145,23464.5,6219,9541,0,7547
Doorn,644187,632745.100762393,11442.2969758644,783042,766036,17006,18392,18392,0,272042,328296,165922,0,162374,13702,54340,0,40755,1148,323,0,0,0,38009,21460,12413
Driebergen-Rijsenburg,2468244,2447766.87035329,20476.8828254249,2666537,2610705,55832,86727,85673,1054,619667,768288,570537,0,197751,47781,177976,1260,133482.75,18234,40041,0,23208,11769,27841,26936,1420
Eemnes,732986,732699.689760693,286.7910759863,690684,690346,338,40656,40656,0,186707,283420,90194,0,140030.25,15279,48849,0,36637.5,5215,0,0,0,705,0,1124,-843
Houten,3686133,3614538.43744894,71595.0577740233,3960901,3868855,92046,95052,95052,0,469392,537586,406942,0,130644,41492,113182,451,84887.25,7923,5289,0,3966.75,17325,147562,45672,83382
Leersum,744230,716487.329302371,27742.7013877394,715955,677464,38491,37265,37265,0,104552,154506,83889,0,70617,26744,113850,287,85335.75,12889,38699,0,14512.5,131,50576,12976,28578
Leusden,1674495,1611761.35288537,62733.880482036,1859707,1783052,76655,111058,111058,0,711732,865971,669564,3795,200202,40931,115201,0,86401.5,18945,38973,0,28658.25,7335,165478,13617,118164
Loenen,471330,457733.396735073,13596.5648257153,765718,714470,51248,12783,12334,449,142282,200144,201940,0,-1796,34370,107658,0,80744.25,7801,4860,0,3645,8,7812,1600,5831
Lopik,624435,596810.741431796,27623.9832214009,895409,861178,34231,33704,32900,804,122863,158893,82777,0,76116,15185,28802,1084,21601.5,8896,42026,0,31518.75,443,2605,997,1598
Maarn,353568,353568.10426749,0,439968,439968,0,8283,8283,0,168011,200882,114225,1057,87714,17904,52624,0,39468,1160,1,0,0,0,1,2738,-2052
Maarssen,5937692,5615077.47144486,322614.616156991,5809289,5492776,316513,227159,214779,12380,1222973,1540095,916983,0,623112,133587,368157,17391,276118.5,7176,26308,0,19731,14155,67855,44283,19834
Montfoort,502590,501362.780359472,1227.1990228253,631601,626374,5227,20012,20012,0,154616,203447,54793,0,115962,25070,116132,0,87099.75,4250,0,0,0,1562,4600,0,3822
Renswoude,244023,244022.839023476,0,303093,300209,2884,933,933,0,57942,57942,8219,0,43456.5,11333,27002,0,20252.25,0,0,0,0,0,0,0,0
Rhenen,2613594,2519592.97328344,94000.7773244541,2538940,2458919,80021,72680,72680,0,541099,701803,172227,0,405824.25,29220,81251,1099,60939,14159,17088,0,12816,10642,52157,16268,29158
Soest,5668436,5399549.78510734,268885.975460926,6564908,6277123,287785,294934,287926,7008,1368084,1397854,829926,60474,628402,143086,427415,74,320562,4097,30003,159,22502.25,32598,60626,105193,-31722
Utrecht,119713756,115724690.91007,3989065.11408482,111574370,107714776,3859594,5731637,5478959,252678,50491270,60319510,45947110,60000,14432400,696469,4142553,6332,1549779,103928,258201,0,192246.75,99240,2184787,17421,1664361
Veenendaal,10936055,10369162.0249399,566892.583386308,13080533,12441679,638854,309614,289099,20515,2217964,2421316,2260559,105947,266704,89805,282953,7443,212215.5,33965,47036,0,34605.75,53232,565954,193889,286353
Woudenberg,736727,694326.861494053,42399.7262386135,670139,613406,56733,69574,69574,0,185359,231799,189426,1361,43734,18648,63461,0,47595.75,1768,13327,0,9994.5,0,947,3,849
Wijk bij Duurstede,1934828,1890774.04610406,44053.777095465,1997116,1960609,36507,48830,48098,732,478637,617940,336003,0,281937,45243,182290,100,136718.25,13573,40361,55,29360.25,6593,63144,73090,-5433
IJsselstein,4877386,4721810.26027412,155575.488294713,5402534,5234764,167770,132708,132115,593,779850,919108,535578,0,383530,34678,119421,3049,89566.5,14367,40788,162,30591,14171,33385,34381,1472
Zeist,12476277,11960110.5705819,516166.578560221,12788838,12148385,640453,284590,282462,2128,4366627,5051402,2974766,0,2076636,113658,395526,3276,296645.25,15030,39642,0,28932.75,44579,316057,37238,215416
Nieuwegein,11977364,11523535.3357909,453828.869936641,13039048,12560419,478629,523754,466883,56871,2435657,3075081,1954347,0,1120734,147881,357690,1817,268247.25,19562,24899,0,18460.5,40841,214765,88317,92898
Aalsmeer,1999277,1910723.50336318,88553.0807926949,1776548,1717850,58698,109020,72398,36622,314185,425670,219958,2504,208216,52885,106086,1622,79565.25,13684,45016,2047,32983.5,1308,28345,12473,13076
Alkmaar,29967185,29050152.977987,917032.473278081,30194921,29371003,823918,1725419,1672048,53371,9636322,11395636,9349151,7,2046492,586055,1063110,28913,797332.5,41077,99826,568,72183.75,37836,161379,59344,84799
Amstelveen,10361363,9756068.15213498,605294.57541687,11473860,10899694,574166,666126,559839,106287,2824972,3545297,2884857,63456,723896,123337,450681,3769,338011.5,33343,104705,0,78528.75,60263,393183,267067,98692
Amsterdam,641075645,614237132.10832,26838513.1529296,543270666,522590592,20680074,18816062,18321612,494450,199191294,226478304,198230884,9712534,37959954,1927842,6029534,207378,4522151.25,414840,1182679,29087,885781.5,562944,5527988,1587512,3091352
Andijk,604187,586739.518460302,17447.5687158203,525556,519168,6388,13510,13510,0,158776,227826,74741,0,119082,35960,86734,0,65051.25,20278,56193,0,40252.5,0,11255,21957,-7633
Graft-De Rijp,327109,327109.065797441,0,260779,260779,0,10179,10179,0,127122,155510,82223,874,74161,13124,74275,0,55706.25,3716,1479,0,0,690,5133,3,3847
Anna Paulowna,1467004,1389536.12007114,77468.2722278274,1437981,1365378,72603,24310,24310,0,429835,505685,391904,11386,125167,67359,103130,6059,77348.25,4685,23269,0,17451.75,283,145735,36615,83446
Beemster,485446,467638.520505554,17807.7249507799,460195,410335,49860,28999,21892,7107,330529,369540,217234,7371,159677,35156,83299,0,62475,4970,23859,310,17894.25,0,85232,29654,43576
Bennebroek,466586,440746.544443555,25839.2089903789,411882,408366,3516,13742,13742,0,192031,231276,70329,702,144023.25,18183,25068,0,18801,0,1,0,0,0,1,8940,-6703
Bergen (NH.),3336042,3317690.05277132,18351.9610391633,3341068,3322001,19067,165040,165040,0,1667472,1915552,1811143,63889,168298,194808,454211,3371,340658.25,26170,98397,10558,71445,3463,48031,18708,23905
Beverwijk,9084947,8840691.44044645,244255.290725634,8101566,7879665,221901,403821,398923,4898,1829703,2243104,1277208,72138,1038034,563534,763771,10809,572828.25,28772,65870,0,48514.5,8551,46255,37422,9954
Blaricum,648236,625217.054927218,23019.3190618434,764317,740925,23392,24243,24243,0,197577,278131,83141,0,148182.75,32017,76962,2632,57722.25,0,0,0,0,120,46277,20236,21195
Bloemendaal,1375784,1346836.54379606,28947.223906882,1577796,1517623,60173,85001,84430,571,341333,458498,161724,0,255999.75,16230,68886,0,51665.25,12307,50044,0,20913.75,3110,380485,0,286946
Bussum,5255928,5093121.7915089,162806.625145513,4722478,4573514,148964,194064,194064,0,1049546,1207456,873639,0,333817,110685,241660,11545,181245.75,10707,15213,0,11409.75,1141,178362,29797,115011
Castricum,2556963,2474807.02960045,82155.6389302274,2478905,2437038,41867,56534,56278,256,749113,883749,737143,53659,200265,271618,386323,0,289743,11933,66804,1988,47706.75,941,116243,35225,63214
Diemen,5737593,5212085.17331901,525507.964165488,5906128,5421450,484678,143794,138701,5093,836372,1033295,475192,0,558103,26319,75754,0,56816.25,15108,66060,0,48618.75,14282,106996,0,172311
Edam-Volendam,1879657,1868647.94407727,11008.7755819316,1948183,1931674,16509,123540,123380,160,309797,409705,265793,20307,164219,39584,100755,133,75567,15288,27812,172,20859,40,24258,51108,-20138
Enkhuizen,3047578,2976786.11626064,70792.0427612616,2838711,2734745,103966,55970,55810,160,629906,778909,472112,0,306797,73494,355419,3871,134735.25,22628,54370,0,40776.75,10328,45084,34279,10598
Haarlem,43153472,42118068.27638,1035403.82250147,44099438,42938906,1160532,2240636,2052696,187940,14451602,18499432,11107002,226622,7619052,524893,1364093,98565,1023070.5,79383,236726,500,177544.5,104894,3357632,678373,2066512
Haarlemmerliede c.a.,423828,421704.013432178,2123.5878742803,466353,466353,0,21846,5610,16236,94859,127321,98874,4404,32851,8043,27130,0,20348.25,0,0,0,0,3234,286,16676,-12208
Haarlemmermeer,13106056,12553090.3051348,552965.208389222,13581584,12918906,662678,573131,530563,42568,2732868,3451950,2911987,95145,635108,270137,723838,6816,542879.25,49671,124273,895,93204.75,107679,801220,172907,485616
Harenkarspel,987910,963540.367054687,24369.2379869512,1121052,1107056,13996,31734,31734,0,535230,581255,413032,3730,171953,64050,117721,2071,88291.5,28660,55793,7542,41844.75,1347,37237,26643,9348
Heemskerk,8167523,7909925.02237553,257598.412274896,8029395,7796361,233034,427974,427974,0,1945272,2273496,1830753,1800,444543,847995,1041355,4415,781017,19466,23754,340,10987.5,17834,132787,48276,67137
Heemstede,2267674,2199442.02459476,68232.2656690858,2638230,2559224,79006,103755,102267,1488,847321,882916,582621,0,300295,79137,177449,6791,133087.5,15639,34259,0,25694.25,1421,106074,42755,50642
Heerhugowaard,6614541,6334751.94928354,279789.371996333,6725236,6444534,280702,309417,296941,12476,1724407,2055517,1698403,94439,451553,410829,720692,17588,540519.75,13142,11497,0,8622.75,8331,51692,137929,-60609
Heiloo,2268992,2189631.88673384,79359.7594173559,2298976,2220136,78840,59147,55701,3446,486441,662862,622192,2941,43611,115012,228661,22392,171496.5,18913,19031,0,11278.5,1779,91838,14880,59719
Den Helder,22128886,21672378.4082665,456507.365195155,22405200,22042820,362380,477497,465183,12314,7216888,8265868,6268226,100905,2098547,97905,244450,1693,183338.25,14851,44844,166,33633,8282,276356,133751,111501
Hilversum,18004271,17547462.3780747,456808.829302936,18586567,18023270,563297,565295,531864,33431,4455360,5780926,3097208,24274,2707992,267897,573963,23088,430473,44030,108521,100,80592,25356,341519,97161,191465
Hoorn,18434166,17846186.7445953,587979.063987201,16261739,15602620,659119,505224,505224,0,5946027,6656139,6065086,70680,661733,185118,500792,5231,375594.75,37479,164667,474,121818,89038,839026,203133,1134804
Huizen,6945779,6657334.9949825,288443.792931214,7732029,7423429,308600,226931,220392,6539,1528346,1900257,1362061,0,538196,125018,329310,5600,246983.25,10735,54334,0,40750.5,26619,101441,85903,13802
Niedorp,731672,717824.276548658,13847.3402782057,798347,787060,11287,33100,33100,0,259937,318554,217350,5430,106634,74059,146740,614,110055.75,29147,46983,1093,35237.25,0,13045,51173,-27812
Landsmeer,777848,777847.950891014,0,805791,779187,26604,58615,58063,552,215064,254906,177606,4829,82129,20350,51729,0,38797.5,4856,38911,174,27619.5,3324,52001,79123,-18799
Langedijk,2229673,2174905.01705029,54767.7581295223,2280960,2248353,32607,145574,145506,68,459423,566158,520666,122329,167821,149155,272463,640,204348,31935,16190,4191,10545.75,2408,182166,28006,119194
Laren,868773,841768.406364686,27005.0480620629,781313,767462,13851,55721,55721,0,180481,257012,123682,10502,135360.75,18586,56660,6818,42495.75,0,0,0,0,3882,16576,16670,320
Medemblik,1207623,1167936.35698683,39686.5492685846,1010076,966385,43691,48406,47926,480,245021,301445,101348,0,183765.75,24774,45175,0,33882,1000,6684,0,5013,59,106305,0,42208
Muiden,666595,655291.043177687,11303.5701298059,793728,784744,8984,9696,9696,0,98306,156226,44276,0,73729.5,9408,1167,0,876,0,0,0,0,0,165047,1354,123527
Naarden,1651302,1605076.41286475,46225.3858010732,1587447,1543957,43490,110861,88184,22677,516287,588647,450212,0,138435,38257,84922,1599,63692.25,2319,17977,0,13482.75,10465,170095,2991,126884
Obdam,239417,239416.938141926,0,290926,281764,9162,17188,17188,0,132298,182832,90884,0,91948,30994,100848,0,75636,12196,16690,0,12516.75,0,10326,15012,-2343
