Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,,w.v. besteding bij ROC Definitief,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief
Kapelle,706001.904583423,682720,14652,272729.135451344,65772,292462,65772,795,795,795.9646799194
Middelburg,12038673.5190766,14371180,365170,4975941.07195607,304861,5484198,390101,0,0,51591.1149341055
Giessenlanden,599583.766140873,831992,46202,271685.347088696,84505,241685,84505,0,0,0
Graafstroom,288198.430628736,388630,11077,149023.521924022,58351,119023,58351,0,0,0
Liesveld,458622.762768517,543041,11051,215345.537343126,61431,235345,61431,0,0,0
Reimerswaal,2018980.92405313,2405847,98919,792925.834203748,146162,1024245,146162,5254,0,96.9000479902
Zederik,698139.315338518,848054,22091,283974.08960699,82552,223974,82552,0,0,0
Terneuzen,10867115.4539894,11654031,426711,5149220.72238895,399001,5257904,399001,7339,0,28986.5246235657
Tholen,2547973.80264921,3464384,94234,855047.253020378,162413,1056939,162413,8504,0,3819.1164003634
Veere,1404334.55437638,1908046,45501,503729.745427656,118923,520950,118923,0,0,5969.3746081457
Vlissingen,14915828.4634199,18806419,412850,7026692.97614448,354083,7913985,385876,23125,0,36671.7699894283
Lingewaal,757553.983879119,982557,36183,312826.894457991,74355,242826,74355,0,0,973.6147679014
De Ronde Venen,3716611.66409812,4253288,158693,1234429.29490489,244879,1256781,244879,0,0,15299.1765502013
Tytsjerksteradiel,4470179.28593148,5766753,92513,1615804.66544523,191228,1673069,191228,32654,0,69815.9483461981
Aalburg,651613.708288888,751198,3167,258197.315777137,86320,350365,85950,23924,0,657.3918434335
Asten,1915459.93207666,2157690,41360,558964.930749483,94379,486731,94379,9395,0,4264.4672905683
Baarle-Nassau,821205.17359499,644737,19544,209119.088774856,38116,179686,37953,0,0,50480.4954666555
Bergen op Zoom,15078767.7280144,18729895,567234,6044742.75366011,504475,6379175,504475,53399,0,50843.3073790406
Best,4241839.54693977,5076412,39206,1310431.79854264,149475,1053918,119882,1337,0,21795.368564903
Boekel,751902.176253809,801016,8203,218059.874734878,65599,200317,65599,3128,0,8202.6179016697
Boxmeer,2698782.66709038,3408963,17964,937480.161793899,178616,937481,178616,0,0,78859.0786340014
Boxtel,3384642.28388119,4448441,189077,1454666.47191345,209048,1329903,272690,43462,0,2409.0188270061
Breda,46260245.6098958,51244976,1499886,19547232.8449057,1118504,23577250,1118504,0,0,34943.5253695564
Deurne,3825712.46815622,4748790,71318,1401191.57971374,206527,1382871,220747,0,0,32743.5824552479
Pekela,4100857.14568651,5001321,147481,1801495.06163459,109698,1730906,109227,44025,0,18043.1277975485
Dongen,2498230.09720281,3156066,74008,967779.254339026,176381,1072675,176381,0,0,10661.2763737958
Eersel,965449.392539548,1108537,23950,394012.362925887,92120,345804,92120,0,0,38609.0454605916
Eindhoven,80204103.8925204,81675019,1951905,32246681.2594944,1618324,28947224,1576444,0,0,603545.707028184
Etten-Leur,6214271.87411818,7236134,184285,2524879.18487834,285366,2418490,284142,7933,0,4579.3203482864
Geertruidenberg,2803157.49524631,3366085,279111,804176.984420449,140059,851417,140059,0,0,14834.3050588108
Gilze en Rijen,2940661.75731497,3973551,120239,1057856.84990207,166631,734827,165916,18413,12039,2832.8123404632
Goirle,2570706.19420564,2806959,84113,776511.889783371,133657,803166,133657,291,0,8411.4144336485
Grave,1477808.84872394,1542471,5529,511146.349212309,81423,532956,81423,0,0,3352.9291159106
Haaren,552807.545450791,783839,87488,264880.870059337,72874,238146,77260,5651,0,59438.265932608
Helmond,27181958.7743791,32993507,1052620,12142576.3462118,715269,10955174,702644,172161,0,90970.5572327129
's-Hertogenbosch,39949687.0438072,44646319,1095805,14691616.3175077,984475,14750287,980252,0,0,52151.3859286582
Heusden,4908047.34073856,6155865,265121,1912853.51049244,296665,2206223,296665,15473,0,16464.0184077865
Hilvarenbeek,640510.175814197,982816,22076,261477.438021125,75665,261478,75665,0,0,836.1955034154
Loon op Zand,2048803.39066039,2605697,35539,741504.49249376,171157,908961,171157,16762,0,17615.882580373
Mill en Sint Hubert,981023.918551091,1110215,19921,298224.733318297,74030,379091,74030,0,0,1165.612407632
