Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,,w.v. besteding bij ROC Definitief,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief
Boarnsterhim,2488835.06557861,3094705,58815,976879.25926991,89948,1156667,89948,2289,0,32620.5828407603
Zuidhorn,1846517.85863554,2401408,72503,806406.803078936,93224,622727,93224,0,0,28016.2173628827
Dongeradeel,6020224.47350702,7031989,133811,2265452.3590017,154960,1873541,154960,24950,0,64540.6590845915
Achtkarspelen,6598145.26152615,8291325,391324,2395732.36301666,207239,2972054,207239,2413,0,80894.957474311
Ameland,54190.1574779727,60843,0,66679.1364638784,14056,13996,13996,0,0,0
het Bildt,2349419.6982271,2818685,49753,912435.88257693,84972,771745,84972,85655,0,10596.1626417711
Franekeradeel,4029943.56643538,5399424,107896,1511321.01014949,142609,1337013,142609,182719,0,59198.8231382417
Harlingen,4326495.30565921,5871423,126162,1666691.10704779,111919,1573592,111919,179263,0,17941.9288914025
Heerenveen,10426083.4974,12332909,309123,4276626.34762431,274768,3812245,274768,onjuist,onjuist,34174.8949386655
Kollumerland en Nieuwkruisland,2633687.52197103,3542116,570489,947569.530587869,94604,1291946,94198,741,0,23947.3255877008
Leeuwarden,45826505.9831527,60816770,1675950,20389035.0225759,598817,19107164,598817,0,0,285031.432583318
Leeuwarderadeel,1441653.35977553,1929443,40606,483045.883174628,50670,444468,50670,46842,0,30561.2225016563
Lemsterland,2788316.02428845,3153328,108374,825496.691300999,82358,805894,82358,3069,0,4907.3628796126
Ooststellingwerf,4477598.73238862,5864753,94536,1615337.00106879,165786,1543670,165786,5563,0,31159.0972397207
Opsterland,5394730.15279803,7056174,221605,1644288.82511132,173450,1797823,173450,81,0,63671.6363467264
Schiermonnikoog,26723.9377413855,71249,311,26883.1159892185,3991,24358,3991,863,0,0
Smallingerland,15683034.3778038,21742974,662681,6638887.15921955,343786,6709551,343786,66243,0,87849.5456563257
Terschelling,226469.777329786,237648,3523,168778.29571647,19774,175095,19774,4289,0,0
Vlieland,51629.6823796598,38019,2018,33448.9236983404,5017,14010,5017,1177,0,0
Weststellingwerf,4338892.54649888,5436061,105559,1538857.36735604,158326,1698318,145326,42210,0,8772.626666112
Assen,20177787.0594162,23846769,828042,7820997.97512193,361222,7144873,361222,0,0,171385.908135791
Coevorden,8419230.23918694,10285322,195331,3057238.58647452,219261,3296593,219261,143613,0,35133.914317084
Emmen,34965942.3345961,42552031,1341272,12966798.611858,866815,13626573,1143110,178674,0,195510.117767568
Hoogeveen,13879763.3045747,15958479,285782,5407280.45098838,423470,5068578,423469,14628,0,61826.0112697257
Meppel,6860012.56444559,8336393,134628,2413556.19312228,195861,2088815,195000,26847,0,25075.7082614928
Littenseradiel,930566.265846671,1174030,20582,355447.444309975,58217,514337,58217,11577,0,4722.3452517095
Almelo,24897645.7392761,32713694,1013577,11424250.0450649,572609,10489275,570153,345350,0,84213.3199854907
Borne,2396866.21378198,2621151,28108,835223.007965994,125751,810998,172362,9252,9252,4016.8098018434
Dalfsen,1565613.25569768,1611854,51321,371077.048413395,156454,496507,130722,540,0,66719.179806371
Deventer,26632659.9624473,30891089,636128,10434571.8232706,681201,12540977,688440,424639,0,174154.990129401
Enschede,63857686.8939265,79162668,1942650,28821780.0483341,1189834,30200061,2496432,429101,0,537490.187106855
Haaksbergen,2925455.69854859,3516357,32545,796182.182254659,143043,818266,154098,22084,0,54078.1260430413
Hardenberg,7087199.45137341,8413032,180306,2419578.31101986,400468,2249471,398750,0,0,100863.351878258
Hellendoorn,3987983.66335613,4553067,177414,1335798.38810348,206887,1377302,206928,57046,0,69491.073631731
Hengelo,21586749.1771895,26015847,866741,9936042.38848074,496856,10698611,986424,82019,0,328187.052268277
Kampen,7342107.58479601,7635538,186107,2655224.76009316,325510,3094192,325502,130897,0,162774.321923319
Losser,2935237.661216,3598651,98075,784364.902744844,140427,847296,139824,62931,0,40817.7528184149
Noordoostpolder,7589973.0825984,8435732,181815,2987889.41124216,262367,4142669,261110,49607,0,100925.63124783
Oldenzaal,5758149.87493874,6607918,120849,1953115.69561687,188789,1814101,191242,37385,0,74704.9757396095
Ommen,1476311.97167104,2093206,45807,333696.172386094,103780,375820,103780,2033,0,8737.8753096155
Raalte,3397443.40406857,4014010,105740,1133517.60707277,192411,927295,191500,2241,0,80738.5042718268
Staphorst,847383.459249122,1068549,18593,233193.378749387,98029,246004,98029,0,0,0
Tubbergen,1163300.31206724,1372056,32656,377169.503781528,115687,400590,115191,15592,0,27236.6279979928
Urk,1081963.19998424,1324387,35960,423039.425288323,128024,492345,134434,1131,0,287704.209339501
Wierden,2052753.7958115,2443166,37930,626967.635098059,136155,634047,208123,5818,5818,33546.6488127916
Zwolle,35723664.243351,39925696,1298340,12400202.5221714,656099,10096169,656099,0,0,148354.149212466
Rijnwaarden,1653969.05451243,2004360,48358,602664.06174871,91097,563471,91097,7524,0,4920.6695128769
Aalten,2393845.30608659,2713168,50314,1018610.47394365,186796,1107058,186796,318802,0,12473.0152732999
Apeldoorn,32519372.9338017,38185127,1522857,12565379.4129111,985735,12691966,985735,9183,0,249885.045268985
Arnhem,72953196.8704116,84695521,2952908,32224858.8211798,1161061,32162312,1161061,290268,0,442880.159782058
Barneveld,4052749.40315236,5456816,92325,1663918.67644508,327974,2195175,327974,32245,0,112357.894764063
Beuningen,3234032.73018671,3768144,77702,1194101.79462822,152248,1143904,152248,0,0,63393.0171657702
Brummen,2491035.65769855,2989420,145887,842706.749960216,138886,867967,138291,0,0,6932.6432771732
Buren,1595365.6100938,1952559,54419,643690.079806963,172801,684812,172801,1880,0,7728.0311710927
Culemborg,5168924.20312002,6604326,36673,1863110.7352119,202476,1807330,202476,3127,0,33301.5868610664
Doesburg,3260345.27462457,3785393,73365,1148615.1288781,87396,1230089,87396,20089,0,3835.9873908617
Doetinchem,10605807.5190789,13410403,317055,4274647.58422507,353172,4193219,351657,49546,0,213311.252295156
Druten,1830964.82626568,2307331,57562,850583.685569091,111831,801309,111351,0,0,4230.2837077905
Duiven,3284578.33594856,3939900,100383,1138022.5720868,139347,1419038,139347,25511,0,1636.8465695843
Ede,14795141.0592485,18454206,783296,6486676.61622069,697124,6846905,697124,181382,0,126382.081355253
Elburg,1857414.07255084,2327570,74979,537499.726026109,139045,963191,138449,2809,0,15450.1683102485
Epe,3719413.2080221,4665875,189865,1278444.98448944,228707,1330607,218746,585,0,11613.6852439181
Ermelo,2625448.02686464,3254839,76127,861375.129843189,149384,818368,0,10228,0,23506.7331819954
Geldermalsen,1898811.37986513,2477641,57712,752883.87089109,158998,713497,158998,12017,0,79670.6886341693
Groesbeek,2995734.86206521,3695047,99423,1071926.29934884,131242,988486,131242,0,0,36214.4598020059
Harderwijk,6711515.66551242,8679908,233467,2771466.72310444,320424,3021514,320424,0,0,17192.5667178221
Hattem,1003535.97991447,1235380,18616,323388.231650616,67073,310850,67073,329362,onjuist,1330.9336948653
Heerde,1396524.83336125,1747843,49032,437210.128238704,121294,414819,121294,0,0,4124.5606364575
Heumen,1971803.91500486,2317887,61491,765276.981706653,76177,786152,76177,5130,0,56300.4599701132
Lochem,3386179.56791296,4104899,115566,1071630.31780134,166958,944520,166241,67181,0,91731.3334604952
Maasdriel,1901022.45580756,1966596,37195,733058.645227456,176547,744474,175790,4185,0,10163.7623997211
Millingen aan de Rijn,991017.489300104,1197587,10731,304534.437207144,37268,314315,37268,0,0,1194.2354128791
Nijkerk,3022517.60839653,3410337,248735,1209769.83284657,247965,1669128,247965,3235,0,20789.8007538329
Nijmegen,70947813.328936,82194883,2776107,28894812.0975055,1032439,26297984,1028010,573016,0,387119.269596468
Oldebroek,1547580.39123338,1866584,127825,540592.467462771,180946,613938,180946,63708,0,1675.7976491429
Putten,1684357.07324553,1967394,83813,597516.752035533,162146,540057,161450,21267,0,18427.3979515877
Renkum,4916711.82834834,6640331,133719,1703147.78557661,169704,2195005,169704,23596,0,18852.5117642478
Rheden,8168203.02975882,10336465,371210,3451912.03871911,275565,3130280,275565,329083,0,34618.1189304956
Rozendaal,31696.6964860365,58727,2410,27694.8830263534,9464,27654,9423,0,0,0
Scherpenzeel,321805.854328846,406785,4451,140584.842684467,53877,146056,53877,19946,19946,6537.8963461819
Tiel,9908427.21623194,12566819,407443,4318257.35904439,332054,3666799,0,15174,0,295158.578084324
Ubbergen,1346705.86189003,1662825,100418,457952.895287122,56291,550136,56291,0,0,19124.998087814
Voorst,2064879.60545734,2618791,87025,676730.617075394,137849,930939,137258,0,0,19983.016830274
Wageningen,8125747.02009288,8307360,346526,3811689.44655906,227740,3697916,227740,28540,0,48606.6619493451
Westervoort,3238176.42348806,4163501,76711,1186974.21852627,111931,1259798,111931,72824,0,11380.9250560979
Winterswijk,4880760.4518243,6896656,267001,1816087.21056956,185437,1720143,185437,88792,0,45040.587875753
Wijchen,5937153.70947956,6961041,220839,1958599.89599953,225605,1887679,225605,8398,0,28840.6923945336
Zaltbommel,2650895.26665709,3081548,57387,976767.612462273,184143,1019882,184143,130,0,102229.640752464
Zevenaar,5187300.60086839,6196777,130912,1712630.81390191,213433,1868658,213433,54219,0,40175.271794308
Zutphen,12230942.9302423,15662572,547084,4814264.93426431,287583,4996426,286349,353193,0,181447.34509421
Nunspeet,2150252.13637432,2446009,31077,677910.937251952,168699,787448,168699,60206,0,3654.0114078801
Dronten,6634398.37246849,8257117,121810,2777173.15006411,243764,2559796,242718,0,0,66331.8499828477
Neerijnen,821940.852956593,927914,28243,320737.290484958,88908,179712,0,0,0,98131.1616579411
Amersfoort,32057572.6144173,36919350,1000285,12459316.9883692,867045,11174485,865183,0,0,225122.721063367
Baarn,3265651.2551285,4002258,137149,1045616.8523671,126418,1333565,125876,5130,0,1530.2943683763
De Bilt,4357742.63500566,5683637,252533,1606108.07458283,196226,1327626,196226,1090,0,12673.1419907171
Bunnik,844697.601831291,981508,29909,304655.065643119,54453,311756,54453,540,0,1909.1616598067
Bunschoten,1432953.10689167,1457695,33029,517861.285440171,135077,541800,134498,0,0,1867.344674811
Eemnes,660691.985121948,786621,21661,241573.811009956,41517,247783,41517,2700,0,6131.0369091919
Houten,3977767.31203001,4575845,168401,1401289.19335868,216355,1350006,236116,58170,0,26042.8747421605
Leusden,1830950.76647832,2250701,58113,794198.765581168,128378,795162,127827,0,0,10883.4110820233
Lopik,810099.159342972,970809,23458,326435.360353948,90666,385988,92523,6594,0,6349.6162724666
Montfoort,733869.56609948,1018655,10699,283813.428224838,71258,254468,0,0,0,0
Renswoude,268029.958756707,333454,2287,99971.6601347585,28101,58938,27980,0,0,3211.1073520343
Rhenen,2377020.49521095,2719928,97905,779167.84301082,124334,805393,124334,0,0,14338.6115655485
Soest,6583265.05813655,8131400,165452,2545979.11263147,268709,3166975,328150,0,0,17520.6678289764
Utrecht,98396597.2862823,111424773,6462094,40937569.797541,2224063,38521420,2743508,5760,0,289394.111208798
Veenendaal,11720811.5651493,15213381,527721,5829431.9594436,406114,6464098,848651,69663,4986,121407.356179444
Woudenberg,563840.878021035,619092,15818,254682.835189266,55936,339770,55700,10960,240,1467.9924681014
Wijk bij Duurstede,2217135.16702139,2456189,175671,689328.759850512,129226,747783,129226,0,0,5241.7951183444
IJsselstein,4219525.71127366,4427929,145026,1855066.4019649,200745,1770456,281119,0,0,25442.6973662369
Zeist,11578369.5092765,13353454,669025,4693314.4590591,363873,4595866,363873,7126,0,43646.7439516285
Nieuwegein,12080050.5363462,12472565,306381,4980092.52678351,438693,6115581,528079,87931,0,48356.5756508236
Aalsmeer,2024343.39473027,2151042,78934,763519.229247075,208514,801594,155881,7644,0,4435.628536051
Alkmaar,21162695.1328777,25052101,1049674,8932791.12835305,644003,10398149,644003,370716,0,44118.8883539869
Amstelveen,11256122.4771141,12021897,551115,5133774.02748171,514913,5358000,787500,0,0,45454.5399780861
Amsterdam,462370163.681581,558300173,17094506,200153006.503963,6821539,131040672,6821539,0,0,1090433.90861101
Graft-De Rijp,280237.969506592,384396,914,100572.4897817,32797,111904,36801,0,0,2277.4395207695
Anna Paulowna,1341731.24623756,1778671,83853,475283.072166214,86624,450398,86624,7209,0,34881.8903780939
Beemster,436659.395598125,644441,5165,163735.33918094,43640,181162,41803,0,0,7948.8320616953
Bergen (NH.),2824992.76938105,2961074,66349,1082860.09182035,167819,846837,99254,0,0,11244.1907249867
Beverwijk,7973752.7130045,9554150,406660,3225720.9873888,317842,3564993,317842,52157,0,1843.5020007534
Blaricum,647036.641497853,919632,39286,265156.140257106,46848,255863,46848,2970,0,2190.4890312783
Bloemendaal,1712489.3069366,2126622,62531,637127.314389901,93089,495963,51384,51384,4497,1807.431029067
Bussum,4501861.88901008,5940437,160965,1509676.11579356,174847,1967519,174847,88009,0,38861.1640285348
Castricum,1768987.24565557,2726279,55922,627361.923557696,167294,786367,166577,18348,0,5160.5764397276
Diemen,4901872.45152848,6242537,188842,1938613.30776543,204473,1935626,204473,0,0,54981.0529829655
Edam-Volendam,1979806.88327472,2409566,125771,684350.630126164,200282,627054,195746,26833,0,8619.2962190806
Enkhuizen,2641759.26938607,3306679,71714,871266.816016197,125720,914303,125365,905,0,7357.9148047552
Haarlem,38037384.3136767,42276681,2003677,14603664.0361567,1034539,12916615,1030399,47032,0,137894.878616728
Haarlemmerliede en Spaarnwoude,457998.242052665,717711,21986,197046.175976937,36793,133284,26293,0,0,6196.8626114352
Haarlemmermeer,16650908.3602162,20319741,769975,6646623.877092,957783,6614418,957783,9549,0,162853.589443045
Harenkarspel,1083955.42882027,1201082,30368,403729.438312952,91833,392513,91833,5393,0,6078.9143805878
Heemskerk,6482064.2168185,8582002,221641,2891014.96952942,280840,4357771,0,0,0,21501.0184470266
Heemstede,2184327.0419184,2791638,52359,878564.828357626,106149,758535,85001,0,0,16516.0463074374
Heerhugowaard,5593933.91396488,6624378,169045,2670417.64219255,337128,2391407,312516,43878,0,125635.449902891
Heiloo,1779337.85772045,2176489,126711,564254.585922823,100707,475805,100707,3860,0,17963.693550619
Den Helder,17599118.045075,22546326,687916,7927430.52854972,409668,5817689,407910,180827,0,63521.0276086322
Hilversum,19908848.3538437,22250011,409207,7418496.24271243,598351,7821339,598351,278725,0,89001.2250771466
Hoorn,14974605.3850526,15594364,409573,6233761.5471641,479541,7643829,474448,74001,0,66449.1673540077
Huizen,6617727.38068849,8067573,260188,2415367.78499942,251767,2567841,251767,27300,0,60525.759886373
Niedorp,925361.586124249,1048468,22990,328734.475361912,73990,315493,73990,7658,0,5234.8376372201
Landsmeer,810563.924995041,980550,131112,256413.983522135,59237,294060,55891,57052,0,0
Langedijk,1838102.54425986,2545990,55788,775612.079539786,147271,802770,157616,9323,0,9879.7854175624
Laren,640015.259780122,940053,16988,373303.715027058,59855,288077,59855,3220,0,15764.6338398729
Medemblik,3534707.38380464,3915959,113476,1063710.55890178,274465,1056062,266817,0,0,131741.468719336
Muiden,874444.273271861,1255544,7113,255928.190120478,39714,283301,39714,5646,0,6225.6658623073
Naarden,1477960.89209766,1903641,55953,511161.2132958,66784,635002,66784,7002,0,15199.0095502583
Oostzaan,527495.030976934,715480,5546,201139.663462719,50952,253742,50907,0,0,0
Opmeer,601945.36274591,808578,57702,213280.043253216,64192,236626,63916,1971,0,24561.9271197636
Ouder-Amstel,1277170.98306522,1361480,27266,442210.165681138,61664,403823,95606,0,0,4742.6769582074
Purmerend,13431250.7402901,15387733,587615,6057914.02411477,555081,4933134,514030,0,0,27363.3857337612
Schagen,2753829.95986715,3242723,102326,982525.756919743,118369,912520,118369,0,0,5083.6836561104
Texel,1468660.31315064,1396658,115386,484686.952751114,83666,481291,83666,306,0,48679.8191423846
Uitgeest,739918.109144622,919058,37087,349118.192890296,58429,422384,57178,2160,0,349.4602177146
Uithoorn,2509284.03431711,2661096,88310,966318.227390306,154842,980665,144626,6230,0,6547.4403520247
Velsen,10937297.4474508,14174170,399203,4149511.36168284,457464,4909550,460827,116317,0,15307.5579717629
Weesp,3438069.70563735,4184908,41438,1140132.39109344,122245,1523130,122245,26377,0,13424.3336573911
Schermer,354052.747994315,553970,3853,105976.921337275,30093,118159,29964,0,0,7587.6739029194
Wieringen,973097.536444886,1055901,50545,301500.427844288,64539,288048,64539,2298,0,9052.4760234586
Wieringermeer,1146815.94953762,1352788,56472,451275.984282223,84031,416602,84031,3044,0,6410.976389351
Zandvoort,3711483.29111376,4209563,74479,1265761.24770369,107484,956101,107485,0,0,19146.4833663118
Zijpe,891475.766429085,1258125,35457,315304.615730924,68204,305500,68204,7132,0,3471.9993757735
Zeevang,417910.850249698,572597,2706,110858.776630896,33334,111300,27741,0,0,0
Zaanstad,32800349.1245088,37200298,1030686,14542607.1196608,1113761,14219834,966258,189316,0,75893.1729240517
Alblasserdam,2557737.53435115,3119193,114406,933115.995719469,128209,864918,128209,11802,0,7734.3622986702
Alphen aan den Rijn,10153307.723446,11269284,330755,3986564.44535297,471259,4515012,471259,7061,0,138749.278928267
Barendrecht,3621739.57929477,5042048,67868,1531257.70729489,281805,1597187,294599,11593,0,10986.9126260284
Bergambacht,451165.375975574,558768,21816,185759.087829357,62758,228572,62758,0,0,0
Drechterland,1102081.41080859,1272909,26595,475142.106932268,110705,338533,110705,2658,0,4439.7741854256
Boskoop,1550714.72715747,1994814,42742,636192.493359452,95166,671797,95166,0,0,7494.8293814913
Brielle,1426698.69120788,1868465,47372,589278.708675389,102096,740411,103007,1352,0,29342.469177639
Capelle aan den IJssel,21180703.1772802,25474904,960580,9365020.17457275,513185,9930351,513185,154551,0,40838.4360038815
