Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Winsum,2004137,1997338.5130688,10713.4679867271,2271322,2266076,5246,75278,75278,0,1129157.45692301,125261.062211891,1248347.91571181,1122825,125261,0,0,125522.915711811,37124,75333,0,56499.75,0,14660,0,10995,14593,71371,29544,31911.6
Boarnsterhim,1994243,1942231.82479016,55906.4774261534,2300516,2245622,54894,66677,65784,893,1163816.7047425,154100.478235938,1809812.13759857,1580573,154100,2391,0,189088.137598569,66709,197132,3509,145217.25,13459,47355,0,35516.25,26836,232303,47558,144683.1
Zuidhorn,1492798,1447611.74235993,48103.2893679091,1746867,1697397,49470,106223,106223,0,916599.129670662,157545.609540703,1380809.67926724,1358395,157546,0,0,22414.679267237,27495,105050,0,78787.5,15615,60506,0,45379.5,8503,171469,11818,121845.15
Dongeradeel,4583069,4494483.9865463,97540.4570363727,5635826,5523328,112498,99075,93069,6006,2423737.97410321,276590.698109432,3904706.16044808,2045480,276591,15484,0,605934.493525802,82384,355573,0,266679.75,36051,182802,0,137101.5,26250,537816,104739,333140.55
Achtkarspelen,5369551,5328801.58060385,51240.3286074861,6351313,6288474,62839,346227,346227,0,2660266.88519841,362657.490487293,4511865.88272044,3378645,362657,0,0,665066.721299602,80883,348745,0,261558.75,44560,60742,0,45556.5,51254,603227,79846,401962.05
Ameland,93266,71774.1634593684,17177.9272778694,71655,42292,29363,1450,1450,0,118498.002612795,21544.898586803,192212.456153572,134371,47880,35342,0,29624.5006531987,6027,12548,0,9411,0,0,0,0,6020,0,1716,-1287
het Bildt,1952185,1891503.53118211,28657.7689790969,2268701,2249680,19021,44223,44223,0,1094321.57761678,146420.198009496,1805328.73438159,1490102,146420,0,0,273580.394404195,29055,86266,930,64002,5034,0,0,0,47694,126336,52087,58256.55
Bolsward,1971653,1867521.79470634,107983.511513078,2566300,2474867,91433,76587,76587,0,1037871.00616336,106023.412627557,1512611.00102921,1385077,106023,13654,0,107046.001029206,21458,69262,0,51946.5,3720,36364,0,27273,39329,119476,40541,61071.15
Franekeradeel,3324988,3249058.10210311,82426.4032744524,3952486,3860883,91603,143338,143338,0,1758593.08276134,247271.755167052,2415598.18420039,2415598,247272,0,0,0.1842003874,27180,95319,559,71070,12166,50165,0,37623.75,46035,368095,39920,250133.1
Harlingen,3790028,3729577.3284856,67855.6017658488,4245520,4199813,45707,130496,130496,0,1980371.41080737,189498.116771491,3022419.64482734,2897793,189498,0,0,124626.644827337,49361,115601,1565,85527,0,0,0,0,96218,189094,74663,89995.95
Heerenveen,10175424,9908308.56361941,286997.255147325,9929849,9649335,280514,349033,349033,0,5029500.08405483,475762.054723022,8111398.23479681,6742932,475762,47250,0,1155355.23479681,123808,264432,15599,186624.75,27674,73591,491,54825,123839,353774,85678,211190.55
Kollumerland en Nieuwkruisland,1982823,1968107.56175812,18589.4130431835,2489853,2464508,25345,76804,76804,0,1110342.91862005,162544.309980412,1888781.54882782,1456315,162544,0,0,277585.729655012,28913,134921,9847,93805.5,19876,62960,0,47220,18082,171387,16984,118603.65
Leeuwarden,42097446,41270829.5626509,908869.508115427,43786567,42802136,984431,1535368,1535368,0,21359839,,29167907.4442418,22911198,0,0,0,6501523.44424181,271275,1129004,64178,798619.5,42791,225187,0,168890.25,343029,3006598,295593,2090322.15
Leeuwarderadeel,1014257,1008450.91576129,7787.4240419651,1339632,1330610,9022,29874,29874,0,634015.308737005,87667.63885708,1060341.70320691,784244,84934,0,0,158503.827184251,19526,32569,1035,23650.5,8810,32398,0,24298.5,14101,232595,30140,154085.55
Lemsterland,2015816,1999387.86350604,20367.1090328317,2662941,2617064,45877,119248,119248,0,1118685.11298754,140628.742607544,1741094.64523731,1459000,140629,4131,0,253024.64523731,31114,214567,0,160925.25,0,0,0,0,17378,70447,17189,42196.35
Menaldumadeel,1036645,969731.675178224,16390.9390805422,1244729,1229702,15027,35746,35746,0,685060.190519029,144182.4778534,836103.71391144,835345,144180,0,0,756.7139114398,38115,103022,548,76855.5,11886,45214,0,33910.5,38985,213362,24250,143865.6
Ooststellingwerf,3581239,3470920.38415374,87718.2622777434,4204785,4150218,54567,158046,157936,110,2052411.33210375,286679.76289907,2704298.36877547,2141804,286680,1292,0,513102.833025939,66607,253913,3592,187740.75,28308,122045,0,91533.75,59599,214112,33435,141999.75
Opsterland,3749244,3725755.91571075,30813.8013594479,5209310.71,5145917,63393.71,229839,226478,3361,2096326.01080845,294851.619035609,2139253.91028562,1851753,294852,0,0,103336.910285624,75604,365068,112,273717,17486,75750,0,56812.5,56859,379561,157956,171498.9
Schiermonnikoog,31465,8964.3027370317,0,21062,21062,0,1119,1119,0,39334.8035958194,6024.5405925704,65268.8226375019,24985,6025,0,0,9833.7008989549,3563,6579,0,4934.25,0,0,0,0,1759,0,654,-490.5
Smallingerland,15674085,15404921.2159712,299789.148049644,16835742,16545218,290524,569746,549848,19898,8594734.51807663,606751.898147286,14644346.2436954,8891622,633465,980,0,2148683.62951916,145461,652820,5384,485577,16321,76303,244,57044.25,77699,627902,144503,376779.9
Sneek,9321904,9158193.78854215,181924.02356273,10562776,10382131,180645,508543,508543,0,4787348.45650431,339887.584036455,8306918.77945375,5925355,339888,212933,0,1196837.11412608,86754,362010,606,271053,31066,33692,0,25269,48824,401892,106079,230858.55
Terschelling,250877,200827.830201944,0,218442,216882,1560,3348,3348,0,163226.278672214,29984.079847522,270913.88136659,212621,29984,0,0,40806.5696680536,14840,14920,0,11190,0,0,0,0,415,0,4421,-3315.75
Vlieland,75279,54886.2788334763,9109.176176151,59335,51341,7994,3605,3605,0,43811.710779945,7402.184773447,68227.7806339525,37627,7402,0,0,10952.9276949862,2655,0,1253,-939.75,0,0,0,0,0,0,9697,-7272.75
Weststellingwerf,3449872,3434652.19941946,21960.487293676,4052330,3987334,64996,202889,202889,0,2212971.86519899,282188.751533222,3706935.4104515,2201734,273391,15413,0,553242.966299747,126101,358910,752,268618.5,12487,24536,8312,12168,13933,107639,23618,65860.2
