Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Millingen aan de Rijn,768943,741188.595980448,29256.8015977096,934263,909212,25051,90864,89756,1108,380360.464211818,65154.9931565859,526960.126038504,356437,65155,1080,0,95090.1160529546,13292,46993,0,35244.75,0,18461,0,13845.75,2265,27904,1400,21579
Nijkerk,2689019,2540852.33729535,153420.256896515,3134276,2926770,207506,179339,136450,42889,1516852.31891771,436647.605014634,2154063.37590776,1745299,436648,4294,0,379213.079729428,23761,147438,223,110411.25,15863,29397,0,22047.75,6577,157446,41954,90340.65
Nijmegen,71068715,68548586.5956221,2658985.74497471,72492563,69651594,2840969,4390436,4390436,0,32759813,,45641233.5950495,38338567,0,1391178,0,8693844.59504946,278042,1573010,14400,1168957.5,91377,273218,184,204775.5,377830,3180373,575426,2009939.75
Oldebroek,1163344,1146788.97521859,18828.2985206464,1524101,1511657,12444,37252,37252,0,875059.15715014,324045.679805885,1229880.83828212,908297,324046,0,0,218764.789287535,19855,22975,0,17231.25,11734,0,272,-204,1182,20308,11612,7662
Putten,1275800,1202664.4544045,75628.4744081714,1576262,1522208,54054,91908,91439,469,722558.038564605,293592.848554722,939494.276989538,940141,284440,5867,0,-137380.723010462,10565,109076,0,81807,3632,21488,0,16116,11787,149884,83852,50227.8
Renkum,4505074,4343384.18666458,170490.261293703,4962970,4812401,150569,256201,241386,14815,2421281.16193448,309010.03862894,3710906.86305778,3625030,309010,2402,0,24264.8630577801,23471,304815,0,228611.25,0,0,0,0,27662,178784,33473,112396.65
Rheden,7912987,7713054.95039568,215393.455356918,8616119,8387701,228418,359608,356587,3021,3942616.23339015,497003.913785701,6416127.4468194,4767596,497004,32976,0,985654.058347537,98514,502148,455,376269.75,17433,46257,0,34692.75,34170,322061,59648,205711.65
Rozendaal,48178,45004.0236077034,0,33188,33188,0,1861,1861,0,46879.1278809974,17142.644660204,68014.1627257231,4084,0,0,0,11719.7819702493,0,0,0,0,4135,0,0,0,2221,0,0,0
Scherpenzeel,240636,241106.466202209,0,299713,299713,0,11962,11962,0,206511.321655298,84990.1136033145,289971.160401332,232015,82340,0,0,51627.8304138245,0,12014,0,9010.5,0,0,0,0,355,39755,0,30173.55
Tiel,9346431,8937065.08619425,427626.831758159,9874468,9453945,420523,380948,352621,28327,5067211.31712617,595003.570540538,4917584.80082012,4367628,793805,6371,0,556327.80082012,88014,178635,3235,131550,18458,110408,0,82806,134914,1931240,352323,1218407.25
Ubbergen,1043840,1032318.80692254,13559.4792334558,1241034,1224079,16955,36874,36874,0,746634.218186933,107372.38010246,1158381.22605067,667479,107372,0,0,186658.554546733,14754,69942,0,52456.5,7749,22808,0,17106,8349,185814,34922,119195.4
Voorst,1505210,1430516.63784907,77635.3549421876,2044235,1941615,102620,169748,169748,0,864822.296683876,244156.339057098,947514.142413251,963003,244156,864822,244156,216205.574170969,38729,52410,840,38677.5,16884,45164,0,33873,15107,154321,44138,85266.6
Wageningen,7479960,7180742.02223004,313832.46132121,7580004,7303698,276306,321485,309929,11556,4771022.70955015,394420.429431544,7592852.63277203,6553015,394420,57837,0,1097674.63277203,41054,129737,2222,95636.25,114,29165,0,21873.75,44531,477435,95846,294858.3
Westervoort,2883998,2647743.67550527,150615.47461544,3241559,3092571,148988,83482,79209,4273,1331292.77054545,198444.302016009,1850949.92501995,1839095,198444,39056,0,50840.9250199476,43563,142549,986,106172.25,1148,21765,0,16323.75,42353,125262,17900,88007.85
Winterswijk,3931655,3679278.3068737,260057.76394267,5006154,4729847,276307,149617,148943,674,1916198.28390081,339259.833000982,2867313.8857187,2470737,328683,31334,0,417333.8857187,24040,143553,6637,102687,36848,55601,0,41700.75,7712,331603,51116,220840.35
Wijchen,5167868,4979440.06895586,198524.74532145,5431800,5230026,201774,194418,187196,7222,2205273.43365282,391661.796506342,2740719.30815578,2316693,391842,18100,0,520688.308155776,79024,256705,3287,190063.5,16092,49365,0,37023.75,27890,301182,66341,183185.7
Zaltbommel,2089745,1952587.81812954,141240.735395815,2673941,2521376,152565,41259,41259,0,1154304.30935163,320183.287133815,1594447.06097082,628356,320183,0,320183,288576.077337908,26320,103060,401,76994.25,21768,25407,198,18906.75,87178,533226,132849,307070.7
Zevenaar,4806990,4604074.49762433,212307.346016089,5069601,4854378,215223,168988,162698,6290,2592882.0868124,382455.024747146,3364467.90235598,3114060,382455,48578,0,317321.902355978,60266,217708,106,163201.5,21193,34668,0,26001,56330,271593,75669,155144.4
Zutphen,11802910,11509161.4983968,316809.43516472,12837728,12508724,329004,489386,478668,10718,6119548.0408878,499401.714581852,6667044.78611559,7267887,470719,17653,0,-611872.213884414,82541,288476,8244,210174,13479,24991,0,18743.25,59546,1384625,251727,859471.95
Nunspeet,1570984,1397544.57594593,68419.4685019923,2135246,2047297,87949,65626,65626,0,946071.885845632,294547.677381166,1270030.54119205,1052805,294457,37170,0,236517.971461408,14664,53284,0,39963,12521,48952,0,36714,19119,57828,195389,-102098.7
Dronten,6232262,5996206.90680613,248232.326499935,6859425,6586638,272787,181815,175681,6134,2796542.95621382,430322.513716313,3148150.82693763,3153489,333519,1316,0,-426192.173062369,30588,162344,738,121204.5,19307,81000,0,60750,67080,450386,217310,184459.05
Neerijnen,637866,639112.458078543,0,748446,721953,26493,17689,17361,328,424274.546566413,145041.824673493,361646.047637789,445158,145307,0,0,-83511.9523622107,9475,87667,112,65666.25,13815,20162,0,15121.5,77407,464215,62609,303728.55
Abcoude,558266,551856.349415333,7500.0338990274,634537,628066,6471,19140,17093,2047,265734.404979366,60276.1692455088,382980.664917964,51539,0,0,0,66433.6012448416,0,39438,0,29578.5,0,0,0,0,1913,30160,12859,13652.1
Amersfoort,32654866,30622737.7614454,2095930.24936125,31470993,29304457,2166536,1079267,1064901,14366,10341582,,12948147.5494942,10519144,0,0,0,2174045.54949416,156347,301813,4776,222777.75,29804,143663,2526,105852.75,346550,1797534,317455,1136224.2
Baarn,3171683,3075743.27457091,91481.0117019443,3276353,3184756,91597,158040,157382,658,1432077.76726497,227158.078105493,2228347.78377608,1050832,227158,19440,0,358019.441816241,26723,130954,1497,97092.75,6251,29506,0,22129.5,9995,25298,11731,11544.15
De Bilt,4625574,4385270.73843386,249341.870722669,4752775,4493011,259764,192469,186313,6156,1951430.43533462,355161.397188005,1293546.72987727,1367449,355161,17454,0,-267822.270122733,21116,83197,153,62283,9371,14660,0,10995,11896,188591,50204,108187.5
Breukelen,738149,688574.412067749,51017.2071463024,1075434,1049424,26010,23667,23667,0,412864.653499094,133284.252498958,548721.718882033,187089,126927,0,0,103216.163374774,20965,94424,0,70818,4170,16583,0,12437.25,2226,43599,1828,31328.25
Bunnik,729597,716656.228848717,14365.8692969729,856847,844732,12115,14969,14969,0,369543.185796333,93146.035633884,346500.300027357,271281,90242,0,0,45742.3000273573,2797,1252,0,939,879,0,0,0,17950,26480,19876,4953
Bunschoten,979631,923321.577371669,58222.5752025709,1352761,1296055,56706,32297,30464,1833,640879.716517076,224664.266442213,777281.863762001,689113,224664,0,0,75455.8637620008,42651,112874,177,84522.75,7016,9672,0,7254,9128,29362,16191,10397.55
Eemnes,527369,527656.341625844,742.1213817631,653312,606311,47001,15220,12320,2900,288834.362537154,77037.9464331865,426614.650320385,235916,77038,3510,0,72208.5906342884,5713,68453,712,50805.75,0,0,0,0,0,38631,750,28410.75
Houten,3567198,3420910.24288202,153257.766267175,4261942,4067292,194650,85829,85829,0,1459101.0609376,367860.196872075,1503896.89206536,1791263,367860,410147,0,122780.892065359,10610,200982,1417,149673.75,10818,45408,0,34056,16464,198760,90277,83460.3
Leusden,1739837,1555617.58262753,187618.471289461,1837151,1629696,207455,89049,89049,0,1080233.58171111,219505.360256112,1549910.34650334,1304973,342660,5220,0,231286.346503335,30501,116219,103,87087,15905,49070,0,36802.5,36710,98044,140835,-29201.4
Loenen,579430,513457.119689185,55883.4377100529,620983,574307,46676,19310,19310,0,289434.762364874,75113.3676537588,415952.405761486,133149,77416,0,0,72358.6905912184,15541,40447,0,30335.25,0,0,0,0,0,5245,1000,3183.75
Lopik,650243,596269.184285132,22657.741859875,820942,782321,38621,58722,49219,9503,381496.572851767,149910.358510762,505215.564783802,336067,139138,0,0,95374.1432129418,5256,44869,0,33651.75,250,0,0,0,1669,39706,3562,28203.9
Maarssen,4463587,4116631.50058346,355677.436226244,4390412,4025122,365290,130467,130467,0,2113916.61600756,430838.610594398,2937992.46707259,1526248,430839,0,0,528479.154001891,45772,155138,1701,115077.75,7222,44677,0,33507.75,7997,25428,34423,-6544.65
Montfoort,506545,495296.819026184,12237.7270992699,761676,728100,33576,11296,11296,0,377593.669271168,128956.876910669,514981.601541132,254520,128957,0,0,94398.417317792,23930,29212,13644,11676,0,0,0,0,895,0,0,0
Renswoude,317635,311928.918347245,6327.4336111762,260478,255222,5256,3277,3277,0,130438.914309536,50448.1680854937,178663.867193605,134547,100892,0,0,32609.728577384,6919,13922,0,10441.5,0,0,0,0,0,17378,0,13458.75
Rhenen,2207352,2100441.78663384,111222.410550152,2326599,2249290,77309,39198,39198,0,907780.488398014,211224.004764737,1056492.86450079,971755,211898,0,0,-12173.1354992124,8755,42882,293,31941.75,6613,191,0,143.25,14363,247632,30508,170156.4
Soest,6215324,5795045.01014722,432422.730556971,6636487,6255835,380652,324650,323620,1030,2701926.39624377,476322.836729746,3267488.24995953,2879509,476323,0,0,311752.249959534,91490,179614,0,134710.5,2783,47384,0,35538,16347,325138,39460,226577.55
Utrecht,99613723,95019575.1509482,4788777.10130385,95701539,90268108,5433431,5650360,5438679,211681,41611786,,60270651.2941027,57686489,0,0,0,0.2941027433,345896,757797,21444,552264.75,57904,119055,9520,82151.25,296563,1686091,427036,976778.85
Veenendaal,11818878,10985058.3613171,856912.523075552,13196843,12309331,887512,685516,663811,21705,5745939.35116435,715291.096201832,6292061.31277691,4833195,1080909,0,0,905679.312776912,56872,259578,3625,191964.75,10555,59853,1224,43971.75,224139,1055856,188264,666911.85
Woudenberg,605969,521112.250133537,86041.2134689553,612861,519553,93308,16454,16454,0,320663.832952622,94967.5544330598,454365.588955359,330192,94968,0,0,80165.9582381555,9448,32174,884,23467.5,2716,0,0,0,5280,25944,12824,10677.45
Wijk bij Duurstede,1841887,1778639.63587932,66847.9173406116,2231319,2143730,87589,49702,49702,0,890715.284608001,233587.088309095,628351.425718053,495747,226305,2043,233587,-182925.574281947,30810,92386,576,68857.5,10953,1138,0,853.5,26447,74916,43467,25713
IJsselstein,4329724,4125769.56844331,212414.056280134,4177434,3985898,191536,129635,128491,1144,2192736.72797212,364343.8660199,2995528.61541379,2582369,364344,0,0,411196.615413787,33497,120724,378,90259.5,2629,62163,0,46622.25,16798,168611,38969,101092.8
Zeist,11458327,10693653.4009804,787060.954325419,11511363,10732546,778817,404718,401996,2722,5794679.15216629,665527.074223132,6701919.72470632,4473564,665527,21707,0,1448669.78804157,66096,256169,2516,190239.75,4559,607,0,455.25,98484,471135,169326,239641.05
Nieuwegein,12489799,11922103.8102018,592097.66406645,11899476,11214539,684937,566761,516328,50433,5616396.49247997,786856.35582231,7968077.16112967,3926152,788620,4677,0,1404099.12311999,85516,319506,7535,233978.25,6886,10742,388,7765.5,42875,421424,79160,270310.2
Aalsmeer,1475902,1358505.60623713,82444.5925240054,1933789,1848345,85444,56906,49218,7688,853414.146300691,327189.946651034,1109360.72612203,771144,327190,0,0,213353.536575173,6769,39499,0,29624.25,9591,8158,466,5769,1888,77352,36031,33365.25
Alkmaar,24340094,23101175.6848752,1286475.90360279,20344887,19076768,1268119,1569609,1528593,41016,9031599,,11006476.1663645,13594945,0,425320,0,-2822374.6875,117224,288006,4182,212868,30915,144359,2016,106757.25,40438,440606,100767,271292.25
Amstelveen,10885143,10288008.4788226,618402.956770023,10982397,10234342,748055,599764,324887,274877,5486509.78816416,845899.412885261,7482762.47679625,3279867,845899,0,0,1371627.44704104,85332,311353,2731,231466.5,16644,42499,27,31854,42885,335179,122357,166279.5
Amsterdam,458533590,430802643.366315,28626850.8927067,501957873,474319356,27638517,15953420,15435486,517934,178793341,,253684533.149169,233563171,0,28800750,0,37238853.1491688,1262302,4696735,103433,3444976.5,336330,1215431,6724,906530.25,810985,7317216,2019071,4101241.8
Andijk,356050,324791.48113469,31954.8736147405,524833,496954,27879,19472,19472,0,262792.682841362,80191.0221887289,379376.701104387,269253,56226,0,0,65698.1707103405,13748,16090,1439,10988.25,8312,22586,14385,6150.75,24377,42133,11321,23953.5
Graft-De Rijp,205970,160212.704767742,2108.7403315131,218325,205881,12444,8436,8436,0,168558.715499202,56274.0854667119,248822.255381856,175344,56274,0,0,42139.6788748004,19112,78953,0,59214.75,0,0,0,0,0,18203,24640,-4113
Anna Paulowna,1164752,936056.40465293,78382.3267904982,1344927,1279648,65279,81479,76367,5112,633191.580660107,147540.870932748,924896.409595544,762682,147541,4130,0,158297.895165027,6425,15798,0,11848.5,9315,51239,539,38025,2922,181838,19222,124000.5
Beemster,406693,352520.868011763,54966.6995325809,460850,407289,53561,2390,1720,670,286560.656931708,78199.2286621802,454345.17971699,226663,78199,0,0,71640.164232927,15353,0,0,0,1372,43747,0,32810.25,0,38382,3953,26179.05
Bergen (NH.),2560703,2506623.33666901,59082.3203981102,2737213,2665093,72120,169877,168028,1849,1455576.58528981,284213.493016899,1655261.91600077,1158791,190655,0,0,276540.916000773,62245,82293,1687,60454.5,13577,36775,5920,23141.25,25368,175467,60050,91848
Beverwijk,7646429,7372880.15662573,288488.773610673,,0,0,,0,0,3471237.62038302,513287.131336579,5262445.6201751,,,,,,30015,89517.8933334827,,67138.4200001121,5983,5842.7599938132,,4382.0699953599,7794,25569.3030127634,0,19176.9772595726
Blaricum,667379,612881.191250649,55802.1923953828,638050,584282,53768,22785,22785,0,304982.540515723,84676.9897656209,445416.330903132,232143,84677,2430,0,76245.6351289309,15480,58704,804,43425,0,4515,0,3386.25,5254,38764,10783,22861.8
Bloemendaal,1523516,1363242.03882352,85620.4354959622,1788206,1685778,102428,46039,45450,589,789049.234139217,183900.426262405,1167516.57181065,657387,0,5670,0,197262.308534804,10790,34012,7445,19925.25,0,27604,0,20703,11860,34604,54851,-13755
Bussum,3670504,3523517.60908724,154157.527811731,4585502,4397420,188082,95705,93819,1886,1826708.01594149,289063.617054657,2698553.71773454,1711680,289064,0,0,456677.003985372,49577,209390,1805,155688.75,0,33071,0,24803.25,4649,321298,30932,223119.3
Castricum,1842525,1793662.36470681,52461.433560812,1851578,1800169,51409,204345,198572,5773,971608.904213125,286259.836271333,1379501.32401161,1096115,286260,24699,0,242902.226053281,45246,31374,0,23530.5,10158,60500,2000,43875,10952,71305,4509,52531.2
Diemen,4934322,4352836.23963097,591126.358140319,5282604,4725463,557141,159805,159805,0,2230999.41317526,328807.797472526,2426538.0278875,2253367,328808,0,0,173171.0278875,20347,61969,386,46187.25,13954,30591,0,22943.25,29678,424624,64200,278895.75
Edam-Volendam,1613670,1545938.10305562,70884.7181247446,2015952,1951457,64495,67698,59348,8350,824474.09138162,322997.843069718,1104977.28803814,704159,322998,7965,0,206118.522845405,11733,53373,34,40004.25,10451,45499,0,34124.25,12353,73677,17427,44792.4
Enkhuizen,2294661,1988073.98875095,100596.25096128,2639447,2562062,77385,81990,77576,4414,1151298.89067994,216251.941867972,1630774.39167021,1188285,216252,0,0,287824.722669985,17257,98147,0,73610.25,11054,29320,0,21990,8056,50548,7258,34022.85
Haarlem,39489856,38435985.4339049,1131028.15168943,35741708,34306795,1434913,2860704,2631848,228856,14073168,,23254849.4190206,17928445,0,82148,0,4397865,256002,642342,9760,474436.5,55067,100250,580,74752.5,249852,1188755,197124,755915.85
Haarlemmerliede en Spaarnwoude,383651,381137.163324356,0,462334,455607,6727,16838,16838,0,213273.631693816,59131.3624015453,285167.319410713,148618,22274,5763,0,53318.407923454,546,0,0,0,0,0,0,0,0,42379,5483,28097.25
Haarlemmermeer,14620106,13662107.7911379,986563.068656184,16924103,15847859,1076244,588966,552749,36217,6976275.75923111,1679989.06687356,8843588.11516259,5308074,1679989,42300,0,1744068.93980778,115961,339627,6456,249878.25,29969,67358,3165,48144.75,286715,990369,186986,619820.85
Harenkarspel,892975,872783.138365504,14268.8599660235,1059689,1042687,17002,40384,39178,1206,614436.877602179,156319.736667021,954460.17882625,775789,156320,399,0,153609.219400545,19428,25558,1370,18141,601,0,0,0,31531,64043,31242,26229.45
Heemskerk,6896961,6570051.41223515,340385.127818704,7274112,6950747,323365,322814,318689,4125,3348672.23366944,469925.005100461,5247012.94415833,3174822,577741,24324,0,837168.05841736,22086,87682,627,65291.25,4346,19011,0,14258.25,38239,137114,47963,69023.25
Heemstede,2199175,2039397.36698584,164074.306668036,2203061,2097662,105399,112878,111904,974,1132172.71391692,180684.902689358,1708031.16197688,947593,180685,14917,0,283043.178479231,22441,80056,68,59991,17786,28824,0,21618,12041,123811,17705,83638.8
Heerhugowaard,6550753,6126631.13582091,436920.325663113,5490006,5161844,328162,267362,261034,6328,3247271.19979534,575583.294644928,4257633.05180179,3315263,575583,38025,0,801819.051801792,73992,125874,6600,89455.5,4200,10672,476,7647,86655,706422,123522,444985.35
Heiloo,1660676,1360144.39382675,106264.021122,1692666,1609389,83277,57966,57966,0,654542.065981342,161639.836124023,951312.518773674,494199,111930,949,0,163635.516495335,19401,112141,2023,82588.5,3093,41570,0,31177.5,1980,153706,62303,73880.1
Den Helder,18443150,17982476.0513216,496708.388943881,17509733,17031189,478544,1051610,989578,62032,9632260.87586361,729431.383053932,12553435.4754179,12552188,729431,144891,0,40013.4754179157,40856,112914,9755,77369.25,21459,109086,901,81138.75,46156,431463,85389,264915.75
Hilversum,18270996,17501736.1572351,804959.175885588,19033955,18194315,839640,336545,311782,24763,7627872.83352184,1044024.46365611,11421534.0998262,7688755,1044024,566738,0,1906968.20838046,111628,356394,2442,265464,29517,84982,1000,62986.5,72941,820019,175871,501561.15
Hoorn,15246259,14316584.4749367,959464.7246721,14477593,13647636,829957,478619,438558,40061,7574572.89907032,811823.012837866,11633694.9299578,8151646,811823,27037,0,1893643.22476758,93424,229451,2805,169984.5,29587,99530,3143,72290.25,91907,563903,146250,322247.25
Huizen,6232131,5727822.74004619,516484.953674558,6550320,6045836,504484,181617,175404,6213,2742125.69055387,440448.495543303,3994293.15790669,2132315,440448,11880,0,685531.422638467,59684,375847,924,281192.25,10565,70311,420,52418.25,12166,472002,36997,335406.3
Niedorp,691121,641358.811931265,14776.9463368711,869435,839742,29693,34315,18905,15410,450251.312680272,138076.043388001,649490.803087951,536658,138076,0,0,108857.803087951,22671,62926,0,47194.5,5331,0,0,0,14285,94428,19667,59343.9
Landsmeer,787639,746140.51700403,43036.9770590754,848133,775620,72513,47572,47572,0,358253.413189572,95922.8196537654,503406.949455969,369544,95923,22603,0,89563.3532973931,4955,43641,0,32730.75,2593,0,0,0,3727,2380,3527,-503.25
Langedijk,1935365,1897185.99486737,41960.1734855367,1818186,1761765,56421,125337,116343,8994,865625.78198103,259986.27066588,504807.855235718,1717882,259986,389576,0,-216406.445495257,26304,56505,11080,34068.75,6440,20866,1080,14839.5,4493,181262,56954,111937.75
Laren,509939,439214.62000765,56621.9212419054,629505,586899,42606,13335,12636,699,298060.23421083,102608.114668525,428729.739801784,220939,102608,3780,0,74515.0585527074,15481,55228,0,41421,0,0,0,0,5254,129390,2077,98345.25
Medemblik,1592380,1539525.3057664,55965.8956413599,2100403,2055401,45002,31196,30950,246,1168952.94940045,298652.450250859,1753834.81828191,1162000,298000,0,0,292238.237350112,24157,61972,2459,44634.75,5898,24866,1392,17605.5,20766,234426,16875,165521.1
Muiden,575962,562986.217354338,11481.0543178644,820838,812058,8780,1374,990,384,246725.685271674,73240.2691677069,350011.195184247,304966,73240,0,0,45045.1951842473,155,34240,111,25596.75,0,33334,0,25000.5,18696,62526,40800,17145
Naarden,1291394,1225353.54674607,68563.7698817796,1446247,1351848,94399,39411,31671,7740,615620.45094775,126524.961025452,934241.099115735,594683,126525,0,0,153905.112736938,20029,111312,0,83484,57,0,0,0,8102,126291,7010,92274.9
Oostzaan,421954,361667.622898606,39074.1458897914,521612,502950,18662,10975,340,10635,269877.295750228,88846.154815071,364688.228969688,153232,88846,0,0,67469.323937557,11373,39240,0,29430,0,0,0,0,0,5670,989,4361.25
Opmeer,444262,426101.649470207,2853.28694655,572286,572286,0,41152,41152,0,328042.452673817,108903.571803639,471249.191081774,366532,108904,0,0,82010.6131684542,9695,6516,0,4887,10718,32098,0,24073.5,390,119468,5807,86096.25
Ouder-Amstel,990123,850607.499136774,95116.4363792739,1345101,1247184,97917,40233,40233,0,520813.155014331,110432.680195863,711912.213501274,303845,110433,8000,0,130203.288753583,12049,49487,1797,35767.5,2592,0,0,0,20700,43505,24938,15379.2
Purmerend,13876915,12913205.5013323,990822.990901501,13281694,12361110,920584,655591,630703,24888,7306089.2540394,967825.096864746,11157667.9395777,9546538,967825,0,0,1129054.93957774,121702,346587,4332,256691.25,32078,136968,0,102726,40479,280912,81340,160998.3
Schagen,2453726,2236787.4186881,99278.1366770043,2902360,2785531,116829,87081,80050,7031,1255035.50682751,210345.805502472,1822874.4803504,1173988,210346,0,0,313758.876706876,25349,42271,0,31703.25,5111,8359,1134,5418.75,8156,77647,29401,38801.85
Texel,1078456,1017087.54718006,55292.8934078983,1457412,1407190,50222,169093,166105,2988,652774.517934903,138726.618610143,991465.019987703,762595,138727,10822,0,163193.629483726,6205,33149,0,24861.75,1740,14373,0,10779.75,27892,281092,89938,146899.65
Uitgeest,629864,610851.684743711,20243.4221358712,742174,700431,41743,0,0,0,404612.982602541,105824.979251788,584652.000320505,489459,105825,4050,0,90422.0003205049,23905,25115,0,18836.25,5215,20191,0,15143.25,1252,4847,0,3635.25
Uithoorn,1963728,1794865.83573655,172699.648806076,2460040,2293007,167033,104789,103568,1221,1019353.74297136,269802.977055284,1290123.18078075,966462,269803,0,0,254838.435742839,13892,137803,0,103352.25,6801,23609,1423,16639.5,1777,92596,9727,66843.3
Velsen,11373100,11028280.585431,367039.654113695,10522599,10149889,372710,387557,387557,0,4412533.22332245,777138.296779185,4525327.80173579,5116006,777138,32098,0,-558580.198264214,71673,281427,1502,209943.75,34207,37312,758,27415.5,33478,174033,53434,94761.6
Weesp,2782809,2560361.85693735,227883.406716656,3574032,3352979,221053,117536,105695,11841,1227833.72706138,208517.964083581,1867577.32927195,941852,208518,0,0,306958.431765346,36362,87495,2185,63982.5,1834,27793,0,20844.75,24102,98764,11592,68104.35
Schermer,222504,222938.176231211,0,314658,314401,257,0,0,0,127188.580670876,49234.2136416354,97640.3689477743,127286,49234,0,0,-29645.6310522257,15501,37559,0,28169.25,773,4195,0,3146.25,0,41379,1366,30547.05
Wervershoof,448521,407850.143877636,41546.6712123648,685760,632001,53759,31444,27355,4089,303666.65635271,102816.280096178,441707.758494472,306505,61699,0,0,66247.7584944717,11221,9267,0,6950.25,16050,26717,0,20037.75,15837,359649,34491,245165.85
Wieringen,817448,765461.363834166,14580.5024416985,949128,932626,16502,36534,34938,1596,430700.896368853,116170.257109072,513863.652378666,427306,116170,0,0,84721.6523786658,647,0,965,-723.75,1874,25774,0,19330.5,1326,99492,13344,67198.05
Wieringermeer,1119958,1081716.88296879,40428.6386731727,1151787,1111288,40499,57706,56040,1666,557385.439036678,140873.46630607,411998.60374023,354206,140873,1162,0,57958.6037402304,4351,8832,0,6624,6150,8853,0,6639.75,65119,76275,15084,48451.5
Zandvoort,3114813,2938803.04388741,182096.215125165,3794465,3612823,181642,204111,202343,1768,1254321.47304715,181695.869871566,1871392.36967313,1271267,181696,0,0,313580.368261787,30138,70027,1932,51071.25,10249,74752,300,55839,4467,149598,7754,108169.8
Zijpe,878463,740691.575106483,7507.3095988486,882478,866075,16403,38566,38217,349,471085.797608535,121019.485530559,611158.359216486,382058,121019,0,0,117771.449402134,18595,24974,364,18457.5,9868,19780,0,14835,15974,37846,1243,29620.65
Zeevang,204228,204627.520793937,0,388783,376074,12709,4199,4199,0,148254.758768172,57571.6455148891,181653.623414558,131029,57572,0,0,37063.6896920431,6764,0,0,0,7576,51744,0,38808,1578,2382,785,1555.05
Zaanstad,33397503,31591728.8594602,1871027.45433801,32087384,30373487,1713897,1592086,1564139,27947,10356715,,16021728.8673219,15179158,0,32993,0,491204.867321946,210630,494741,5213,367146,47473,148713,42,111503.25,38899,595538,128874,363273.9
Alblasserdam,2507445,2355135.38343806,157208.47127009,2677994,2523488,154506,83005,78980,4025,1231862.66880029,230328.634416912,1259110.65564264,775562,224561,3316,0,307965.667200073,50973,44434,699,32801.25,4947,254,0,190.5,0,47139,12709,25822.5
Alphen aan den Rijn,9981164,9283946.45718987,716719.488453991,9969466,9230171,739295,774410,759021,15389,4785929.67235425,812321.153563524,5772579.32891708,4730886,812321,0,0,1041693.32891708,91431,213735,3271,157848,11603,84306,0,63229.5,89772,854673,265134,450756.6
Barendrecht,2770290,2700558.63733104,75144.6403700612,3397757,3251737,146020,164389,145523,18866,1536689.41624402,479125.395314538,1950572.73754053,1712187,474395,0,0,233655.737540527,67178,155306,28855,94838.25,5854,61870,19247,31967.25,16569,89136,39778,39519.9
Bergambacht,373314,362462.266080423,11580.4888820876,475338,451476,23862,22048,22048,0,299713.718453043,100055.259563371,436448.480851209,310860,100057,0,0,74928.4296132606,17715,7428,0,5571,0,0,0,0,674,0,14899,-11174.25
Bodegraven,1677142,1564115.32712333,116304.486875265,1834100,1748296,85804,78888,78368,520,883278.933503352,230637.975464091,1120018.75769099,738927,230638,3176,0,220819.733375838,33961,75185,6439,51559.5,1777,3327,0,2495.25,17404,203332,18317,142034.85
Drechterland,809337,754117.272484088,0,1032240,1002514,29726,39548,0,39548,612072.335846504,180535.616891853,901277.660274164,651133,180536,0,0,153018.083961626,21129,79438,700,59053.5,18347,28448,0,21336,9351,47606,24395,19952.85
Boskoop,1321889,1230020.58855841,8250.6435972486,1570496,1523521,46975,88805,88805,0,768945.669414043,172350.68704366,1079537.01525753,687185,172351,480,0,192236.417353511,17488,52855,190,39498.75,713,19032,0,14274,10922,49541,86030,-26247.3
Brielle,1215943,1202987.06064942,15332.3247565566,1292733,1266725,26008,38238,37788,450,706789.677488821,164035.802495183,1072097.60780102,812069,164476,1610,0,176697.419372205,20246,110484,1384,81825,8900,36181,0,27135.75,4623,170122,57481,87032.25
Capelle aan den IJssel,20343581,19230362.1855289,1152966.81188364,23002409,21725765,1276644,1175254,1097447,77807,10097396.1278313,885027.358253802,13730791.5102429,7403139,591029,67282,0,2524349.03195783,163785,613981,9670,453233.25,19859,33752,0,25314,39813,469728,90413,293650.05
Delft,31241810,29281969.9305639,2020882.61832213,35691706,33720368,1971338,1747212,1626814,120398,15550827.5142352,1241371.05472409,21700370.6524262,18982883,1231661,8022,0,1869388.65242622,164943,597722,4130,445194,15781,81077,0,60807.75,58868,456464,95044,280932.9
