"Divisie","FAO Code","omschrijving","totaal","jaar","type"
"Ministerie van Veiligheid & Justitie","1250","Mutatieabonnementen",206514.99,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1300","Uittreksels online (inzage)",361101.55,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1301","Concernrelaties",6254,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1302","in t kort",28389,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1303","Historie",31763.9,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1304","Uitreksels EGU",3922.5,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1305","Deponeringen",3697.25,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1306","Bedrijfsprofiel Uittreksels",170428.9,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1307","Bedrijfsprofiel concernrelaties",67121.85,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1330","Inzien jaarrekening",3559.35,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1331","Gewaarmerkte jaarrekening",277.5,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1332","VRIS",2054.1,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1333","Bedrijfsprofiel jaarrekening",99087,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1340","KvK adressen internet",794.08,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1350","Overig online",2056.6,"2016","Ministerie"
"Ministerie van Veiligheid & Justitie","1360","Dataservices",2184.5,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1240","Adressen",37394.43,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1250","Mutatieabonnementen",78028.76,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1300","Uittreksels online (inzage)",50903.85,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1301","Concernrelaties",895.7,"2016","Ministerie"
